! This profile is for proposed LVRT to align with IEEE2800 (nogrr245) for Wind.  The #2 at the end indicates this is a piece-wise curve.  The 0.1 pu at end tests protection to intentionally trip the plant. https://www.ercot.com/mktrules/issues/NOGRR245#keydocs
-100 			1
0.0 			1
0.0001 			0
0.16 			0
0.1601 			1.00
1.40 			1.00
1.401 			0.25
2.60 			0.25
2.601 			1.00
3.60 			1.00
3.601 			0.5
6.10 			0.5
6.101 			1.00
7.7 			1.00
7.701 			0.7
10.7 			0.7
10.701 			0.90
16.0 			0.90
16.001 			0.95
20.0 			0.95
20.0001			0.10
26.0 			0.10
26.0001			1.00
30.0			1.00
ENDFILE:
