TIME,P_G30,P_G31,P_G32,P_G33,P_G34,P_G35,P_G36,P_G37,P_G38,P_G39
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0002,0.0003,0.0004,0.0051
0.0004,0.0035,0.0032,0.0032,0.0034,0.0031,0.0039,0.0023,0.0028,0.0041,0.0279
0.0006,0.0120,0.0116,0.0111,0.0110,0.0100,0.0124,0.0074,0.0093,0.0140,0.0692
0.0008,0.0271,0.0279,0.0265,0.0253,0.0219,0.0267,0.0159,0.0209,0.0318,0.1289
0.0010,0.0489,0.0534,0.0510,0.0466,0.0394,0.0477,0.0283,0.0384,0.0587,0.2022
0.0012,0.0745,0.0878,0.0846,0.0747,0.0625,0.0770,0.0453,0.0610,0.0951,0.2751
0.0014,0.1048,0.1306,0.1267,0.1104,0.0913,0.1133,0.0663,0.0877,0.1401,0.3514
0.0016,0.1387,0.1802,0.1761,0.1527,0.1258,0.1556,0.0909,0.1177,0.1918,0.4325
0.0018,0.1761,0.2349,0.2314,0.2003,0.1654,0.2034,0.1189,0.1512,0.2493,0.5414
0.0020,0.2181,0.2939,0.2920,0.2544,0.2101,0.2569,0.1503,0.1892,0.3115,0.6805
0.0022,0.2645,0.3565,0.3572,0.3141,0.2598,0.3161,0.1852,0.2310,0.3762,0.8385
0.0024,0.3141,0.4229,0.4276,0.3785,0.3141,0.3802,0.2233,0.2765,0.4435,1.0053
0.0026,0.3661,0.4938,0.5040,0.4491,0.3732,0.4489,0.2646,0.3257,0.5157,1.1776
0.0028,0.4178,0.5697,0.5870,0.5253,0.4372,0.5229,0.3095,0.3782,0.5939,1.3439
0.0030,0.4692,0.6512,0.6772,0.6073,0.5058,0.6027,0.3583,0.4337,0.6792,1.5038
0.0032,0.5227,0.7388,0.7753,0.6963,0.5794,0.6885,0.4114,0.4931,0.7723,1.6693
0.0034,0.5792,0.8327,0.8814,0.7916,0.6579,0.7805,0.4689,0.5577,0.8736,1.8490
0.0036,0.6392,0.9332,0.9956,0.8936,0.7414,0.8789,0.5311,0.6280,0.9829,2.0497
0.0038,0.7026,1.0404,1.1183,1.0027,0.8299,0.9836,0.5981,0.7034,1.1001,2.2680
0.0040,0.7688,1.1543,1.2495,1.1186,0.9232,1.0947,0.6701,0.7839,1.2252,2.4978
0.0042,0.8371,1.2747,1.3889,1.2413,1.0214,1.2122,0.7472,0.8694,1.3581,2.7356
0.0044,0.9076,1.4011,1.5361,1.3706,1.1241,1.3360,0.8295,0.9601,1.4981,2.9823
0.0046,0.9808,1.5336,1.6909,1.5065,1.2314,1.4657,0.9171,1.0567,1.6450,3.2396
0.0048,1.0570,1.6722,1.8534,1.6486,1.3430,1.6013,1.0099,1.1600,1.7994,3.5063
0.0050,1.1354,1.8174,2.0242,1.7968,1.4588,1.7424,1.1079,1.2695,1.9611,3.7781
0.0052,1.2146,1.9694,2.2038,1.9516,1.5787,1.8892,1.2115,1.3839,2.1306,4.0446
0.0054,1.2927,2.1282,2.3925,2.1126,1.7027,2.0419,1.3208,1.5022,2.3093,4.2991
0.0056,1.3676,2.2935,2.5900,2.2800,1.8306,2.2008,1.4361,1.6238,2.4982,4.5431
0.0058,1.4402,2.4647,2.7953,2.4545,1.9626,2.3662,1.5581,1.7490,2.6976,4.7912
0.0060,1.5129,2.6411,3.0069,2.6350,2.0986,2.5382,1.6866,1.8781,2.9052,5.0603
0.0062,1.5890,2.8224,3.2244,2.8214,2.2382,2.7163,1.8217,2.0136,3.1197,5.3613
0.0064,1.6717,3.0090,3.4476,3.0138,2.3814,2.8996,1.9629,2.1580,3.3414,5.6960
0.0066,1.7600,3.2011,3.6768,3.2105,2.5277,3.0874,2.1096,2.3111,3.5690,6.0446
0.0068,1.8502,3.3990,3.9129,3.4117,2.6769,3.2788,2.2616,2.4701,3.8015,6.3757
0.0070,1.9385,3.6021,4.1561,3.6180,2.8289,3.4736,2.4187,2.6324,4.0407,6.6671
0.0072,2.0200,3.8093,4.4052,3.8282,2.9836,3.6726,2.5813,2.7961,4.2888,6.9186
0.0074,2.0924,4.0194,4.6590,4.0432,3.1409,3.8760,2.7498,2.9600,4.5468,7.1503
0.0076,2.1591,4.2313,4.9151,4.2633,3.3011,4.0843,2.9246,3.1240,4.8136,7.3992
0.0078,2.2255,4.4447,5.1723,4.4869,3.4637,4.2973,3.1056,3.2909,5.0874,7.6865
0.0080,2.2969,4.6603,5.4307,4.7141,3.6287,4.5139,3.2921,3.4647,5.3673,8.0250
0.0082,2.3767,4.8792,5.6911,4.9445,3.7958,4.7332,3.4835,3.6476,5.6524,8.3993
0.0084,2.4626,5.1020,5.9547,5.1769,3.9648,4.9543,3.6790,3.8380,5.9407,8.7696
0.0086,2.5500,5.3289,6.2228,5.4121,4.1355,5.1768,3.8785,4.0329,6.2327,9.0988
0.0088,2.6338,5.5592,6.4951,5.6504,4.3082,5.4014,4.0823,4.2298,6.5313,9.3790
0.0090,2.7092,5.7919,6.7702,5.8916,4.4829,5.6291,4.2907,4.4266,6.8379,9.6242
0.0092,2.7762,6.0260,7.0464,6.1364,4.6598,5.8605,4.5042,4.6220,7.1521,9.8667
0.0094,2.8394,6.2612,7.3221,6.3845,4.8391,6.0957,4.7228,4.8175,7.4729,10.1387
0.0096,2.9043,6.4976,7.5967,6.6349,5.0205,6.3343,4.9460,5.0164,7.7991,10.4579
0.0098,2.9752,6.7359,7.8707,6.8876,5.2039,6.5750,5.1732,5.2215,8.1298,10.8208
0.0100,3.0534,6.9765,8.1449,7.1421,5.3893,6.8171,5.4034,5.4330,8.4638,11.1998
0.0102,3.1366,7.2194,8.4200,7.3979,5.5765,7.0602,5.6364,5.6494,8.8007,11.5621
0.0104,3.2208,7.4642,8.6962,7.6557,5.7657,7.3044,5.8719,5.8689,9.1416,11.8917
0.0106,3.3025,7.7102,8.9728,7.9156,5.9570,7.5504,6.1102,6.0898,9.4877,12.1946
0.0108,3.3796,7.9569,9.2489,8.1777,6.1507,7.7987,6.3513,6.3110,9.8389,12.4868
0.0110,3.4537,8.2043,9.5238,8.4423,6.3468,8.0496,6.5954,6.5325,10.1947,12.7908
0.0112,3.5278,8.4527,9.7975,8.7092,6.5457,8.3032,6.8422,6.7556,10.5549,13.1222
0.0114,3.6043,8.7024,10.0700,8.9782,6.7472,8.5591,7.0913,6.9817,10.9190,13.4834
0.0116,3.6848,8.9539,10.3420,9.2494,6.9515,8.8170,7.3423,7.2111,11.2868,13.8645
0.0118,3.7693,9.2072,10.6138,9.5227,7.1586,9.0772,7.5952,7.4437,11.6581,14.2525
0.0120,3.8566,9.4625,10.8856,9.7985,7.3689,9.3398,7.8498,7.6791,12.0332,14.6397
0.0122,3.9463,9.7197,11.1574,10.0769,7.5824,9.6050,8.1062,7.9172,12.4121,15.0271
0.0124,4.0382,9.9792,11.4295,10.3580,7.7993,9.8730,8.3640,8.1582,12.7945,15.4197
0.0126,4.1331,10.2413,11.7024,10.6420,8.0199,10.1437,8.6230,8.4026,13.1804,15.8215
0.0128,4.2317,10.5061,11.9766,10.9289,8.2442,10.4170,8.8830,8.6508,13.5694,16.2333
0.0130,4.3335,10.7739,12.2526,11.2191,8.4725,10.6933,9.1438,8.9024,13.9617,16.6533
0.0132,4.4376,11.0444,12.5305,11.5130,8.7050,10.9731,9.4058,9.1563,14.3579,17.0812
0.0134,4.5426,11.3177,12.8102,11.8112,8.9420,11.2574,9.6694,9.4119,14.7589,17.5212
0.0136,4.6482,11.5941,13.0915,12.1141,9.1839,11.5470,9.9349,9.6689,15.1655,17.9819
0.0138,4.7559,11.8742,13.3748,12.4218,9.4309,11.8421,10.2025,9.9281,15.5776,18.4709
0.0140,4.8686,12.1591,13.6608,12.7341,9.6830,12.1425,10.4719,10.1911,15.9944,18.9887
0.0142,4.9892,12.4497,13.9511,13.0510,9.9403,12.4475,10.7424,10.4603,16.4152,19.5280
0.0144,5.1191,12.7465,14.2472,13.3725,10.2028,12.7565,11.0135,10.7367,16.8395,20.0752
0.0146,5.2571,13.0492,14.5498,13.6990,10.4708,13.0697,11.2851,11.0197,17.2670,20.6185
0.0148,5.3997,13.3573,14.8593,14.0313,10.7443,13.3879,11.5578,11.3074,17.6986,21.1560
0.0150,5.5434,13.6703,15.1751,14.3702,11.0239,13.7127,11.8324,11.5979,18.1361,21.6993
0.0152,5.6857,13.9885,15.4967,14.7164,11.3099,14.0455,12.1100,11.8898,18.5809,22.2665
0.0154,5.8271,14.3127,15.8240,15.0703,11.6026,14.3871,12.3911,12.1833,19.0336,22.8733
0.0156,5.9712,14.6445,16.1581,15.4317,11.9021,14.7374,12.6757,12.4801,19.4937,23.5232
0.0158,6.1227,14.9851,16.5006,15.8001,12.2082,15.0953,12.9631,12.7831,19.9604,24.2064
0.0160,6.2850,15.3353,16.8533,16.1754,12.5208,15.4598,13.2527,13.0947,20.4328,24.9043
0.0162,6.4585,15.6948,17.2176,16.5576,12.8399,15.8304,13.5442,13.4155,20.9103,25.5996
0.0164,6.6407,16.0628,17.5936,16.9473,13.1655,16.2076,13.8380,13.7442,21.3931,26.2853
0.0166,6.8271,16.4385,17.9809,17.3454,13.4979,16.5928,14.1350,14.0787,21.8825,26.9703
0.0168,7.0136,16.8217,18.3786,17.7527,13.8374,16.9874,14.4363,14.4170,22.3800,27.6730
0.0170,7.1985,17.2129,18.7865,18.1696,14.1843,17.3926,14.7429,14.7580,22.8868,28.4100
0.0172,7.3831,17.6135,19.2051,18.5961,14.5384,17.8084,15.0550,15.1023,23.4031,29.1875
0.0174,7.5710,18.0247,19.6356,19.0317,14.8998,18.2342,15.3725,15.4517,23.9288,29.9986
0.0176,7.7661,18.4474,20.0793,19.4759,15.2682,18.6690,15.6949,15.8086,24.4633,30.8281
0.0178,7.9705,18.8814,20.5374,19.9286,15.6432,19.1118,16.0219,16.1743,25.0057,31.6600
0.0180,8.1837,19.3260,21.0101,20.3899,16.0248,19.5627,16.3536,16.5488,25.5558,32.4865
0.0182,8.4033,19.7802,21.4969,20.8603,16.4129,20.0221,16.6905,16.9310,26.1137,33.3113
0.0184,8.6258,20.2434,21.9972,21.3402,16.8077,20.4908,17.0334,17.3194,26.6803,34.1463
0.0186,8.8486,20.7158,22.5103,21.8299,17.2091,20.9697,17.3831,17.7128,27.2565,35.0033
0.0188,9.0709,21.1978,23.0362,22.3292,17.6171,21.4588,17.7400,18.1105,27.8428,35.8870
0.0190,9.2939,21.6903,23.5754,22.8380,18.0315,21.9578,18.1042,18.5132,28.4393,36.7934
0.0192,9.5196,22.1935,24.1282,23.3557,18.4520,22.4661,18.4756,18.9217,29.0459,37.7135
0.0194,9.7495,22.7073,24.6950,23.8821,18.8783,22.9830,18.8540,19.3370,29.6622,38.6379
0.0196,9.9843,23.2311,25.2755,24.4170,19.3101,23.5081,19.2395,19.7592,30.2878,39.5617
0.0198,10.2230,23.7643,25.8694,24.9602,19.7472,24.0414,19.6324,20.1880,30.9226,40.4856
0.0200,10.4645,24.3064,26.4761,25.5117,20.1895,24.5828,20.0329,20.6229,31.5669,41.4139
0.0202,10.7074,24.8571,27.0950,26.0714,20.6367,25.1321,20.4412,21.0633,32.2207,42.3507
0.0204,10.9512,25.4162,27.7258,26.6390,21.0886,25.6891,20.8573,21.5091,32.8840,43.2965
0.0206,11.1960,25.9835,28.3681,27.2141,21.5449,26.2534,21.2812,21.9603,33.5565,44.2493
0.0208,11.4417,26.5585,29.0214,27.7965,22.0053,26.8246,21.7129,22.4167,34.2380,45.2064
0.0210,11.6884,27.1406,29.6849,28.3858,22.4696,27.4024,22.1527,22.8781,34.9284,46.1664
0.0212,11.9353,27.7294,30.3578,28.9819,22.9376,27.9868,22.6007,23.3439,35.6279,47.1291
0.0214,12.1817,28.3246,31.0395,29.5845,23.4089,28.5776,23.0569,23.8136,36.3365,48.0942
0.0216,12.4272,28.9262,31.7296,30.1930,23.8833,29.1742,23.5213,24.2868,37.0545,49.0598
0.0218,12.6722,29.5341,32.4279,30.8070,24.3606,29.7758,23.9936,24.7637,37.7814,50.0217
0.0220,12.9177,30.1476,33.1338,31.4258,24.8402,30.3816,24.4733,25.2448,38.5167,50.9760
0.0222,13.1644,30.7660,33.8468,32.0490,25.3219,30.9908,24.9599,25.7306,39.2595,51.9213
0.0224,13.4127,31.3879,34.5657,32.6764,25.8054,31.6029,25.4533,26.2212,40.0091,52.8610
0.0226,13.6616,32.0122,35.2889,33.3077,26.2906,32.2180,25.9537,26.7161,40.7652,53.8012
0.0228,13.9095,32.6382,36.0151,33.9429,26.7773,32.8363,26.4612,27.2140,41.5277,54.7475
0.0230,14.1544,33.2659,36.7435,34.5817,27.2653,33.4579,26.9761,27.7138,42.2973,55.7003
0.0232,14.3951,33.8957,37.4736,35.2238,27.7545,34.0823,27.4981,28.2147,43.0743,56.6533
0.0234,14.6321,34.5280,38.2056,35.8683,28.2446,34.7088,28.0266,28.7163,43.8587,57.5961
0.0236,14.8667,35.1625,38.9394,36.5147,28.7353,35.3362,28.5610,29.2195,44.6499,58.5197
0.0238,15.1011,35.7982,39.6743,37.1625,29.2263,35.9636,29.1004,29.7252,45.4471,59.4220
0.0240,15.3368,36.4336,40.4093,37.8112,29.7174,36.5903,29.6445,30.2343,46.2491,60.3100
0.0242,15.5739,37.0674,41.1427,38.4609,30.2086,37.2164,30.1931,30.7469,47.0549,61.1958
0.0244,15.8114,37.6986,41.8730,39.1116,30.6997,37.8423,30.7463,31.2623,47.8642,62.0905
0.0246,16.0468,38.3271,42.5992,39.7633,31.1909,38.4683,31.3042,31.7791,48.6773,62.9975
0.0248,16.2782,38.9536,43.3212,40.4157,31.6822,39.0943,31.8667,32.2962,49.4950,63.9101
0.0250,16.5047,39.5788,44.0392,41.0685,32.1735,39.7200,32.4333,32.8128,50.3176,64.8150
0.0252,16.7271,40.2030,44.7535,41.7213,32.6646,40.3446,33.0033,33.3290,51.1452,65.6995
0.0254,16.9470,40.8257,45.4641,42.3735,33.1555,40.9674,33.5761,33.8457,51.9770,66.5595
0.0256,17.1668,41.4460,46.1703,43.0251,33.6462,41.5880,34.1509,34.3640,52.8121,67.4012
0.0258,17.3880,42.0626,46.8710,43.6760,34.1366,42.2062,34.7276,34.8846,53.6496,68.2384
0.0260,17.6105,42.6748,47.5652,44.3264,34.6269,42.8225,35.3060,35.4077,54.4890,69.0850
0.0262,17.8333,43.2827,48.2522,44.9765,35.1174,43.4374,35.8862,35.9327,55.3302,69.9478
0.0264,18.0548,43.8866,48.9321,45.6264,35.6082,44.0511,36.4681,36.4588,56.1737,70.8235
0.0266,18.2737,44.4875,49.6054,46.2761,36.0994,44.6636,37.0513,36.9852,57.0200,71.7012
0.0268,18.4897,45.0860,50.2726,46.9254,36.5912,45.2750,37.6354,37.5118,57.8693,72.5694
0.0270,18.7035,45.6824,50.9341,47.5744,37.0837,45.8850,38.2201,38.0388,58.7216,73.4225
0.0272,18.9166,46.2763,51.5901,48.2231,37.5772,46.4935,38.8050,38.5670,59.5764,74.2638
0.0274,19.1305,46.8674,52.2404,48.8718,38.0717,47.1009,39.3898,39.0971,60.4335,75.1029
0.0276,19.3459,47.4557,52.8848,49.5207,38.5676,47.7074,39.9745,39.6295,61.2925,75.9510
0.0278,19.5630,48.0413,53.5235,50.1701,39.0652,48.3136,40.5589,40.1645,62.1535,76.8147
0.0280,19.7813,48.6248,54.1568,50.8204,39.5648,48.9199,41.1431,40.7018,63.0167,77.6943
0.0282,20.0002,49.2069,54.7855,51.4718,40.0667,49.5267,41.7269,41.2415,63.8823,78.5854
0.0284,20.2197,49.7882,55.4103,52.1246,40.5712,50.1344,42.3103,41.7835,64.7506,79.4829
0.0286,20.4400,50.3692,56.0318,52.7791,41.0786,50.7433,42.8932,42.3281,65.6216,80.3844
0.0288,20.6617,50.9505,56.6507,53.4358,41.5892,51.3538,43.4755,42.8758,66.4954,81.2915
0.0290,20.8852,51.5324,57.2675,54.0950,42.1034,51.9666,44.0574,43.4267,67.3722,82.2081
0.0292,21.1109,52.1156,57.8832,54.7571,42.6216,52.5822,44.6389,43.9811,68.2524,83.1371
0.0294,21.3388,52.7010,58.4987,55.4226,43.1440,53.2009,45.2201,44.5391,69.1364,84.0798
0.0296,21.5689,53.2891,59.1149,56.0918,43.6711,53.8234,45.8010,45.1008,70.0244,85.0357
0.0298,21.8017,53.8806,59.7328,56.7651,44.2031,54.4501,46.3816,45.6666,70.9169,86.0054
0.0300,22.0379,54.4759,60.3531,57.4432,44.7403,55.0815,46.9623,46.2371,71.8137,86.9920
0.0302,22.2782,55.0754,60.9762,58.1264,45.2833,55.7185,47.5432,46.8129,72.7149,88.0007
0.0304,22.5233,55.6796,61.6031,58.8152,45.8322,56.3615,48.1247,47.3947,73.6206,89.0358
0.0306,22.7732,56.2896,62.2346,59.5103,46.3875,57.0113,48.7070,47.9827,74.5310,90.0981
0.0308,23.0275,56.9066,62.8721,60.2119,46.9495,57.6685,49.2904,48.5766,75.4468,91.1833
0.0310,23.2851,57.5315,63.5172,60.9205,47.5184,58.3335,49.8752,49.1762,76.3687,92.2840
0.0312,23.5457,58.1654,64.1711,61.6365,48.0945,59.0068,50.4616,49.7810,77.2976,93.3945
0.0314,23.8094,58.8088,64.8350,62.3604,48.6781,59.6888,51.0499,50.3914,78.2340,94.5146
0.0316,24.0772,59.4617,65.5094,63.0925,49.2695,60.3801,51.6404,51.0079,79.1779,95.6518
0.0318,24.3507,60.1244,66.1946,63.8334,49.8688,61.0812,52.2336,51.6316,80.1291,96.8176
0.0320,24.6310,60.7971,66.8911,64.5834,50.4764,61.7928,52.8299,52.2634,81.0876,98.0221
0.0322,24.9188,61.4807,67.5996,65.3430,51.0924,62.5153,53.4298,52.9037,82.0533,99.2678
0.0324,25.2134,62.1763,68.3214,66.1124,51.7169,63.2493,54.0336,53.5525,83.0268,100.5483
0.0326,25.5135,62.8849,69.0578,66.8920,52.3502,63.9949,54.6417,54.2092,84.0087,101.8508
0.0328,25.8178,63.6075,69.8103,67.6818,52.9923,64.7524,55.2544,54.8729,85.0001,103.1633
0.0330,26.1254,64.3443,70.5796,68.4824,53.6434,65.5220,55.8721,55.5434,86.0014,104.4811
0.0332,26.4368,65.0954,71.3663,69.2938,54.3033,66.3042,56.4952,56.2207,87.0130,105.8094
0.0334,26.7533,65.8605,72.1701,70.1163,54.9723,67.0990,57.1241,56.9056,88.0349,107.1607
0.0336,27.0762,66.6396,72.9912,70.9501,55.6504,67.9070,57.7593,57.5989,89.0667,108.5477
0.0338,27.4068,67.4328,73.8295,71.7953,56.3375,68.7282,58.4012,58.3013,90.1083,109.9767
0.0340,27.7449,68.2408,74.6858,72.6520,57.0335,69.5626,59.0502,59.0128,91.1597,111.4437
0.0342,28.0897,69.0641,75.5608,73.5200,57.7384,70.4102,59.7065,59.7332,92.2213,112.9370
0.0344,28.4398,69.9032,76.4551,74.3995,58.4521,71.2709,60.3703,60.4615,93.2936,114.4432
0.0346,28.7938,70.7581,77.3692,75.2903,59.1743,72.1446,61.0420,61.1971,94.3770,115.9538
0.0348,29.1513,71.6286,78.3030,76.1925,59.9050,73.0312,61.7218,61.9396,95.4718,117.4691
0.0350,29.5125,72.5140,79.2561,77.1060,60.6439,73.9306,62.4101,62.6891,96.5780,118.9966
0.0352,29.8784,73.4140,80.2280,78.0306,61.3909,74.8428,63.1071,63.4458,97.6955,120.5460
0.0354,30.2498,74.3281,81.2182,78.9661,62.1457,75.7674,63.8131,64.2101,98.8238,122.1237
0.0356,30.6270,75.2563,82.2265,79.9123,62.9081,76.7041,64.5282,64.9821,99.9628,123.7290
0.0358,31.0097,76.1984,83.2526,80.8689,63.6777,77.6525,65.2526,65.7615,101.1125,125.3551
0.0360,31.3970,77.1542,84.2964,81.8355,64.4543,78.6121,65.9862,66.5479,102.2728,126.9930
0.0362,31.7880,78.1231,85.3574,82.8119,65.2374,79.5824,66.7291,67.3406,103.4437,128.6356
0.0364,32.1820,79.1047,86.4351,83.7977,66.0267,80.5630,67.4815,68.1392,104.6252,130.2805
0.0366,32.5789,80.0981,87.5286,84.7924,66.8219,81.5534,68.2433,68.9433,105.8171,131.9293
0.0368,32.9786,81.1026,88.6371,85.7958,67.6227,82.5531,69.0145,69.7529,107.0192,133.5851
0.0370,33.3811,82.1176,89.7596,86.8073,68.4285,83.5614,69.7950,70.5676,108.2311,135.2498
0.0372,33.7865,83.1423,90.8955,87.8266,69.2391,84.5777,70.5848,71.3872,109.4526,136.9225
0.0374,34.1942,84.1759,92.0436,88.8530,70.0539,85.6013,71.3837,72.2113,110.6835,138.6006
0.0376,34.6040,85.2176,93.2030,89.8861,70.8727,86.6317,72.1915,73.0395,111.9236,140.2811
0.0378,35.0154,86.2665,94.3726,90.9255,71.6950,87.6682,73.0082,73.8714,113.1724,141.9628
0.0380,35.4285,87.3217,95.5512,91.9706,72.5203,88.7101,73.8334,74.7069,114.4294,143.6452
0.0382,35.8433,88.3824,96.7376,93.0208,73.3483,89.7566,74.6670,75.5458,115.6943,145.3277
0.0384,36.2595,89.4479,97.9310,94.0755,74.1786,90.8070,75.5085,76.3880,116.9665,147.0083
0.0386,36.6768,90.5172,99.1302,95.1343,75.0106,91.8604,76.3575,77.2329,118.2458,148.6829
0.0388,37.0943,91.5896,100.3344,96.1965,75.8441,92.9161,77.2138,78.0800,119.5317,150.3474
0.0390,37.5112,92.6639,101.5424,97.2617,76.6786,93.9734,78.0770,78.9284,120.8243,151.9995
0.0392,37.9270,93.7392,102.7527,98.3295,77.5138,95.0318,78.9467,79.7778,122.1232,153.6405
0.0394,38.3415,94.8143,103.9640,99.3993,78.3493,96.0908,79.8228,80.6278,123.4281,155.2742
0.0396,38.7553,95.8883,105.1748,100.4708,79.1850,97.1497,80.7048,81.4784,124.7383,156.9050
0.0398,39.1688,96.9604,106.3839,101.5433,80.0203,98.2079,81.5923,82.3301,126.0532,158.5342
0.0400,39.5824,98.0301,107.5906,102.6163,80.8550,99.2646,82.4847,83.1827,127.3722,160.1589
0.0402,39.9959,99.0968,108.7940,103.6893,81.6889,100.3189,83.3814,84.0363,128.6948,161.7723
0.0404,40.4084,100.1598,109.9934,104.7619,82.5215,101.3703,84.2819,84.8901,130.0208,163.3673
0.0406,40.8188,101.2184,111.1881,105.8337,83.3528,102.4183,85.1859,85.7435,131.3502,164.9399
0.0408,41.2262,102.2715,112.3768,106.9047,84.1825,103.4627,86.0928,86.5958,132.6827,166.4917
0.0410,41.6303,103.3184,113.5584,107.9744,85.0105,104.5032,87.0025,87.4468,134.0182,168.0286
0.0412,42.0314,104.3583,114.7318,109.0428,85.8368,105.5396,87.9145,88.2964,135.3564,169.5581
0.0414,42.4303,105.3910,115.8962,110.1094,86.6612,106.5716,88.8286,89.1452,136.6968,171.0848
0.0416,42.8278,106.4162,117.0509,111.1740,87.4837,107.5988,89.7441,89.9936,138.0388,172.6082
0.0418,43.2244,107.4337,118.1959,112.2364,88.3041,108.6207,90.6604,90.8419,139.3821,174.1229
0.0420,43.6197,108.4435,119.3309,113.2964,89.1225,109.6370,91.5772,91.6899,140.7264,175.6222
0.0422,44.0128,109.4453,120.4558,114.3538,89.9388,110.6476,92.4940,92.5372,142.0717,177.1013
0.0424,44.4031,110.4386,121.5702,115.4089,90.7532,111.6527,93.4105,93.3835,143.4181,178.5605
0.0426,44.7899,111.4233,122.6736,116.4618,91.5657,112.6523,94.3265,94.2286,144.7657,180.0047
0.0428,45.1732,112.3992,123.7657,117.5124,92.3767,113.6469,95.2419,95.0724,146.1144,181.4412
0.0430,45.5538,113.3665,124.8463,118.5610,93.1861,114.6366,96.1565,95.9155,147.4641,182.8758
0.0432,45.9324,114.3254,125.9155,119.6075,93.9943,115.6215,97.0699,96.7583,148.8146,184.3106
0.0434,46.3097,115.2765,126.9737,120.6522,94.8014,116.6018,97.9819,97.6014,150.1659,185.7437
0.0436,46.6859,116.2202,128.0215,121.6951,95.6077,117.5775,98.8922,98.4451,151.5180,187.1715
0.0438,47.0609,117.1568,129.0592,122.7366,96.4134,118.5492,99.8008,99.2894,152.8708,188.5910
0.0440,47.4343,118.0867,130.0875,123.7770,97.2188,119.5172,100.7074,100.1345,154.2248,190.0023
0.0442,47.8060,119.0104,131.1068,124.8167,98.0243,120.4821,101.6122,100.9803,155.5800,191.4084
0.0444,48.1758,119.9283,132.1175,125.8561,98.8304,121.4446,102.5151,101.8272,156.9368,192.8139
0.0446,48.5443,120.8413,133.1205,126.8957,99.6373,122.4052,103.4162,102.6756,158.2953,194.2232
0.0448,48.9118,121.7501,134.1164,127.9358,100.4456,123.3647,104.3156,103.5258,159.6558,195.6390
0.0450,49.2789,122.6555,135.1063,128.9770,101.2555,124.3236,105.2134,104.3784,161.0186,197.0619
0.0452,49.6460,123.5585,136.0911,130.0197,102.0676,125.2826,106.1096,105.2338,162.3838,198.4921
0.0454,50.0132,124.4600,137.0719,131.0644,102.8822,126.2424,107.0046,106.0923,163.7520,199.9295
0.0456,50.3808,125.3609,138.0499,132.1118,103.7000,127.2039,107.8984,106.9544,165.1234,201.3755
0.0458,50.7489,126.2622,139.0261,133.1622,104.5212,128.1679,108.7914,107.8204,166.4984,202.8320
0.0460,51.1180,127.1650,140.0017,134.2165,105.3465,129.1351,109.6839,108.6908,167.8774,204.3011
0.0462,51.4885,128.0704,140.9782,135.2749,106.1762,130.1063,110.5760,109.5661,169.2608,205.7844
0.0464,51.8606,128.9795,141.9567,136.3383,107.0108,131.0823,111.4682,110.4467,170.6489,207.2831
0.0466,52.2345,129.8932,142.9385,137.4071,107.8509,132.0640,112.3608,111.3330,172.0423,208.7983
0.0468,52.6104,130.8127,143.9250,138.4821,108.6969,133.0523,113.2542,112.2252,173.4414,210.3319
0.0470,52.9885,131.7389,144.9173,139.5638,109.5493,134.0482,114.1490,113.1236,174.8467,211.8865
0.0472,53.3690,132.6731,145.9167,140.6529,110.4085,135.0525,115.0457,114.0286,176.2589,213.4648
0.0474,53.7524,133.6164,146.9245,141.7499,111.2749,136.0661,115.9447,114.9406,177.6783,215.0686
0.0476,54.1393,134.5700,147.9421,142.8553,112.1491,137.0897,116.8464,115.8602,179.1053,216.6984
0.0478,54.5303,135.5352,148.9710,143.9696,113.0314,138.1239,117.7513,116.7879,180.5403,218.3534
0.0480,54.9258,136.5128,150.0125,145.0933,113.9220,139.1694,118.6598,117.7241,181.9837,220.0328
0.0482,55.3259,137.5038,151.0679,146.2269,114.8215,140.2268,119.5723,118.6691,183.4358,221.7365
0.0484,55.7306,138.5089,152.1382,147.3709,115.7301,141.2970,120.4895,119.6230,184.8972,223.4662
0.0486,56.1397,139.5291,153.2244,148.5259,116.6481,142.3807,121.4119,120.5857,186.3683,225.2251
0.0488,56.5532,140.5650,154.3275,149.6923,117.5760,143.4786,122.3402,121.5574,187.8496,227.0162
0.0490,56.9715,141.6177,155.4483,150.8705,118.5138,144.5915,123.2749,122.5384,189.3416,228.8413
0.0492,57.3952,142.6880,156.5879,152.0607,119.4619,145.7195,124.2163,123.5288,190.8446,230.7002
0.0494,57.8247,143.7767,157.7474,153.2632,120.4204,146.8632,125.1650,124.5292,192.3588,232.5905
0.0496,58.2605,144.8845,158.9276,154.4782,121.3894,148.0225,126.1213,125.5397,193.8844,234.5100
0.0498,58.7029,146.0117,160.1294,155.7058,122.3691,149.1979,127.0855,126.5606,195.4215,236.4570
0.0500,59.1517,147.1586,161.3532,156.9463,123.3593,150.3896,128.0580,127.5917,196.9705,238.4321
0.0502,59.6067,148.3253,162.5993,158.1999,124.3604,151.5978,129.0395,128.6328,198.5315,240.4371
0.0504,60.0676,149.5122,163.8681,159.4667,125.3722,152.8230,130.0302,129.6838,200.1048,242.4743
