TIME,B32Vrms
2.5,225.777
2.505,225.909
2.51,227.581
2.515,227.948
2.52,227.464
2.525,226.93
2.53,227.465
2.535,227.326
2.54,228.005
2.545,228.692
2.55,226.982
2.555,226.23
2.56,226.106
2.565,225.343
2.57,225.165
2.575,225.124
2.58,225.413
2.585,225.435
2.59,225.087
2.595,226.929
2.6,226.056
2.605,225.044
2.61,226.062
2.615,226.18
2.62,225.583
2.625,224.067
2.63,225.159
2.635,224.339
2.64,223.938
2.645,224.411
2.65,225.033
2.655,224.897
2.66,226.143
2.665,226.654
2.67,225.314
2.675,225.06
2.68,225.165
2.685,225.304
2.69,225.479
2.695,226.81
2.7,225.376
2.705,225.774
2.71,226.334
2.715,225.69
2.72,225.474
2.725,224.796
2.73,223.807
2.735,224.481
2.74,223.987
2.745,224.271
2.75,222.954
2.755,223.617
2.76,224.832
2.765,225.178
2.77,225.725
2.775,225.56
2.78,227.855
2.785,227.691
2.79,227.692
2.795,227.257
2.8,226.58
2.805,226.506
2.81,227.12
2.815,226.312
2.82,226.085
2.825,226.948
2.83,226.756
2.835,227.528
2.84,227.135
2.845,227.317
2.85,227.654
2.855,226.649
2.86,226.596
2.865,227.304
2.87,226.826
2.875,224.734
2.88,226.87
2.885,228.342
2.89,228.376
2.895,227.434
2.9,226.587
2.905,226.156
2.91,226.89
2.915,227.061
2.92,226.844
2.925,226.847
2.93,225.79
2.935,225.685
2.94,226.086
2.945,226.109
2.95,225.618
2.955,225.694
2.96,225.195
2.965,224.731
2.97,224.904
2.975,224.237
2.98,225.16
2.985,224.853
2.99,225.355
2.995,225.679
3,223.975
3.005,197.221
3.01,175.194
3.015,157.697
3.02,142.511
3.025,131.51
3.03,121.821
3.035,113.817
3.04,107.286
3.045,102.019
3.05,96.7321
3.055,92.0903
3.06,89.5281
3.065,85.7973
3.07,82.3453
3.075,78.7793
3.08,76.8874
3.085,75.7397
3.09,84.824
3.095,97.8503
3.1,109.482
3.105,118.457
3.11,125.572
3.115,129.889
3.12,134.546
3.125,138.637
3.13,140.879
3.135,143.943
3.14,145.93
3.145,148.188
3.15,150.658
3.155,152.2
3.16,153.962
3.165,155.5
3.17,157.51
3.175,159.849
3.18,160.721
3.185,162.394
3.19,163.781
3.195,164.631
3.2,166.509
3.205,167.871
3.21,169.529
3.215,170.727
3.22,171.908
3.225,173.762
3.23,174.114
3.235,176.455
3.24,177.235
3.245,177.878
3.25,179.414
3.255,179.528
3.26,180.75
3.265,181.596
3.27,182.795
3.275,184.825
3.28,185.583
3.285,186.944
3.29,188.178
3.295,188.837
3.3,191.197
3.305,190.987
3.31,191.81
3.315,192.56
3.32,193.044
3.325,194.58
3.33,197.011
3.335,197.229
3.34,198.302
3.345,199.921
3.35,199.674
3.355,200.066
3.36,201.536
3.365,203.102
3.37,203.7
3.375,202.803
3.38,204.032
3.385,204.77
3.39,205.46
3.395,207.873
3.4,208.938
3.405,207.895
3.41,208.508
3.415,208.961
3.42,209.28
3.425,210.287
3.43,209.351
3.435,210.752
3.44,211.163
3.445,212.902
3.45,212.246
3.455,212.545
3.46,213.975
3.465,214.332
3.47,214.222
3.475,215.005
3.48,216.103
3.485,216.822
3.49,216.831
3.495,218.195
3.5,216.969
3.505,217.29
3.51,218.912
3.515,218.507
3.52,218.207
3.525,218.748
3.53,217.075
3.535,217.708
3.54,218.621
3.545,218.861
3.55,218.9
3.555,217.746
3.56,218.507
3.565,218.883
3.57,218.529
3.575,218.525
3.58,219.329
3.585,220.27
3.59,219.76
3.595,219.596
3.6,219.453
3.605,218.899
3.61,219.38
3.615,220.58
3.62,220.925
3.625,222.152
3.63,221.38
3.635,220.689
3.64,220.468
3.645,222.112
3.65,221.434
3.655,222.966
3.66,222.299
3.665,222.606
3.67,222.252
3.675,222.756
3.68,222.084
3.685,222.266
3.69,223.068
3.695,223.288
3.7,223.132
3.705,222.185
3.71,225.432
3.715,223.925
3.72,225.408
3.725,224.677
3.73,223.353
3.735,224.344
3.74,224.576
3.745,224.758
3.75,224.492
3.755,223.882
3.76,224.398
3.765,223.895
3.77,223.4
3.775,223.681
3.78,222.897
3.785,223.695
3.79,223.989
3.795,224.085
3.8,223.689
3.805,224.74
3.81,223.39
3.815,223.461
3.82,223.33
3.825,223.741
3.83,223.417
3.835,224.032
3.84,224.033
3.845,225.431
3.85,224.689
3.855,224.947
3.86,225.104
3.865,224.638
3.87,224.963
3.875,225.639
3.88,224.613
3.885,225.103
3.89,225.123
3.895,224.235
3.9,224.273
3.905,224.463
3.91,225.505
3.915,225.335
3.92,224.57
3.925,224.766
3.93,224.082
3.935,224.296
3.94,225.167
3.945,225.459
3.95,225.383
3.955,225.11
3.96,225.635
3.965,225.905
3.97,225.637
3.975,225.8
3.98,224.76
3.985,224.964
3.99,224.645
3.995,224.812
4,224.824
4.005,226.26
4.01,226.57
4.015,226.788
4.02,227.374
4.025,228.75
4.03,228.358
4.035,228.456
4.04,227.765
4.045,226.058
4.05,225.491
4.055,225.852
4.06,225.351
4.065,225.049
4.07,224.822
4.075,224.506
4.08,223.405
4.085,223.668
4.09,224.482
4.095,224.74
4.1,223.365
4.105,223.026
4.11,224.181
4.115,224.278
4.12,224.168
4.125,222.833
4.13,224.492
4.135,224.665
4.14,224.887
4.145,227.345
4.15,225.958
4.155,224.724
4.16,224.582
4.165,223.445
4.17,223.98
4.175,225.859
4.18,224.92
4.185,225.063
4.19,224.539
4.195,227.44
4.2,227.469
4.205,225.933
4.21,227.251
4.215,227.176
4.22,226.663
4.225,225.656
4.23,224.747
4.235,225.536
4.24,226.337
4.245,225.527
4.25,224.521
4.255,224.595
4.26,224.246
4.265,226.281
4.27,225.266
4.275,225.147
4.28,225.524
4.285,225.698
4.29,225.859
4.295,225.612
4.3,224.994
4.305,224.223
4.31,224.38
4.315,225.097
4.32,224.924
4.325,224.371
4.33,225.198
4.335,225.5
4.34,225.966
4.345,224.324
4.35,225.232
4.355,226.152
4.36,224.455
4.365,226.237
4.37,227.476
4.375,226.64
4.38,226.548
4.385,226.762
4.39,226.263
4.395,229.146
4.4,231.328
4.405,229.998
4.41,229.885
4.415,227.629
4.42,227.334
4.425,226.146
4.43,226.415
4.435,225.605
4.44,224.695
4.445,224.142
4.45,223.828
4.455,222.828
4.46,224.662
4.465,223.386
4.47,222.696
4.475,222.933
4.48,225.315
4.485,224.05
4.49,224.47
4.495,224.329
4.5,224.452
4.505,222.787
4.51,223.82
4.515,223.613
4.52,223.222
4.525,222.435
4.53,223.114
4.535,222.817
4.54,222.462
4.545,223.526
4.55,225.169
4.555,223.708
4.56,223.889
4.565,223.66
4.57,224.28
4.575,224.813
4.58,225.783
4.585,225.617
4.59,224.499
4.595,224.908
4.6,226.169
4.605,224.657
4.61,224.919
4.615,225.29
4.62,225.063
4.625,224.906
4.63,225.096
4.635,224.505
4.64,223.991
4.645,224.503
4.65,226.083
4.655,224.59
4.66,226.298
4.665,225.903
4.67,225.748
4.675,224.412
4.68,223.684
4.685,223.926
4.69,223.656
4.695,224.319
4.7,224.192
4.705,223.751
4.71,224.091
4.715,223.938
4.72,223.754
4.725,223.357
4.73,223.091
4.735,224.299
4.74,223.985
4.745,225.177
4.75,226.483
4.755,225.773
4.76,225.24
4.765,225.411
4.77,226.06
4.775,227.152
4.78,227.773
4.785,226.848
4.79,226.702
4.795,228.349
4.8,229.651
4.805,228.471
4.81,227.67
4.815,226.524
4.82,226.864
4.825,225.826
4.83,225.285
4.835,225.063
4.84,224.556
4.845,225.027
4.85,224.571
4.855,223.873
4.86,223.933
4.865,224.572
4.87,226.06
4.875,226.491
4.88,226.003
4.885,226.279
4.89,225.169
4.895,224.583
4.9,224.331
4.905,225.028
4.91,224.132
4.915,225.312
4.92,224.684
4.925,223.485
4.93,224.233
4.935,224.544
4.94,224.289
4.945,227.163
4.95,227.391
4.955,226.389
4.96,227.071
4.965,224.157
4.97,224.812
4.975,224.24
4.98,225.629
4.985,227.906
4.99,227.374
4.995,226.312
5,226.439
5.005,225.115
5.01,225.577
