TIME,B32Irms,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.909,1.70644,0.632545,0.646115,0.627353,0.626796,0.617815,0.638744,0.693759,0.66892,0.664825,0.672962
2.9092,1.7061,0.633569,0.643338,0.62861,0.627682,0.617649,0.63928,0.69432,0.669015,0.664481,0.672578
2.9094,1.70637,0.634838,0.644108,0.62961,0.626574,0.618422,0.639681,0.694077,0.669041,0.664815,0.672663
2.9096,1.70751,0.635134,0.647755,0.62939,0.624684,0.619624,0.639555,0.692985,0.669646,0.66551,0.673332
2.9098,1.7094,0.633997,0.651496,0.628183,0.623014,0.620865,0.638929,0.692131,0.670643,0.666404,0.674687
2.91,1.71075,0.632107,0.652821,0.626633,0.622648,0.621229,0.638167,0.691427,0.671705,0.666935,0.675923
2.9102,1.7112,0.630606,0.652267,0.625847,0.623213,0.620985,0.637452,0.690859,0.672143,0.667073,0.676336
2.9104,1.71142,0.630408,0.651288,0.626308,0.623502,0.620508,0.637034,0.69077,0.67152,0.666877,0.676511
2.9106,1.71119,0.630915,0.650712,0.627582,0.622935,0.620583,0.636954,0.690748,0.670223,0.66633,0.676317
2.9108,1.71162,0.631557,0.650893,0.628483,0.621582,0.621481,0.636846,0.691117,0.670043,0.665964,0.676377
2.911,1.71314,0.632564,0.651984,0.628125,0.619722,0.622705,0.63629,0.691856,0.671681,0.665692,0.677335
2.9112,1.71468,0.633149,0.652953,0.627194,0.617688,0.623274,0.63534,0.692368,0.674265,0.665073,0.678583
2.9114,1.71564,0.632861,0.653422,0.626228,0.61659,0.623078,0.634124,0.692494,0.674873,0.665117,0.679372
2.9116,1.71592,0.631647,0.653418,0.625939,0.616342,0.623074,0.633131,0.691965,0.673073,0.666265,0.67968
2.9118,1.7152,0.630654,0.653723,0.625934,0.617136,0.62374,0.63249,0.690974,0.670707,0.667809,0.679238
2.912,1.71358,0.630579,0.653673,0.626076,0.61845,0.624489,0.632386,0.691756,0.669428,0.668679,0.677977
2.9122,1.71254,0.630604,0.652942,0.626884,0.61917,0.624698,0.632656,0.693401,0.669934,0.668329,0.67688
2.9124,1.71279,0.630895,0.652112,0.628339,0.619519,0.624053,0.632834,0.694549,0.671162,0.667255,0.676767
2.9126,1.71417,0.631956,0.651088,0.62877,0.619399,0.62289,0.632747,0.693911,0.671729,0.666267,0.677615
2.9128,1.71611,0.633215,0.650084,0.627481,0.619286,0.621987,0.63246,0.692061,0.671715,0.666325,0.679012
2.913,1.71768,0.633293,0.649417,0.624588,0.619752,0.621922,0.632139,0.689614,0.671527,0.667494,0.680332
2.9132,1.71793,0.632382,0.649183,0.621864,0.620414,0.622558,0.631938,0.688205,0.671237,0.668896,0.680723
2.9134,1.71698,0.630738,0.648741,0.620419,0.621038,0.623293,0.632034,0.688605,0.671481,0.6698,0.680092
2.9136,1.71544,0.629803,0.647739,0.620651,0.621256,0.623498,0.632506,0.689448,0.672432,0.669663,0.678814
2.9138,1.71492,0.630288,0.646149,0.621913,0.620791,0.622868,0.633249,0.689595,0.673281,0.668485,0.678063
2.914,1.71592,0.631601,0.644404,0.622614,0.619774,0.621578,0.633829,0.689675,0.672959,0.6671,0.678503
2.9142,1.71773,0.632569,0.643331,0.622169,0.619144,0.620307,0.634238,0.688621,0.672307,0.666366,0.679778
2.9144,1.71942,0.632189,0.64325,0.620513,0.619339,0.619719,0.634909,0.687792,0.672093,0.666466,0.681132
2.9146,1.71992,0.631095,0.644087,0.618904,0.620407,0.619878,0.635864,0.687479,0.672253,0.666796,0.6817
2.9148,1.71911,0.630202,0.644686,0.618731,0.621183,0.620243,0.636548,0.687714,0.672981,0.666848,0.681217
2.915,1.71757,0.630036,0.644077,0.619973,0.620638,0.620273,0.636667,0.689928,0.673751,0.666013,0.679993
2.9152,1.71624,0.630317,0.642434,0.622029,0.618589,0.619356,0.636359,0.692839,0.674215,0.664334,0.67878
2.9154,1.71576,0.630467,0.640769,0.62349,0.616307,0.617784,0.636178,0.693537,0.674173,0.662717,0.678131
2.9156,1.71608,0.630059,0.639994,0.623871,0.615097,0.616315,0.63658,0.691879,0.673987,0.6618,0.67825
2.9158,1.71667,0.629319,0.640371,0.623474,0.615014,0.615427,0.637589,0.689038,0.674183,0.661245,0.678588
2.916,1.71766,0.628769,0.641504,0.623096,0.615669,0.614934,0.638798,0.687737,0.674784,0.661028,0.679247
2.9162,1.71816,0.62868,0.642595,0.622963,0.61577,0.614756,0.639851,0.689415,0.675471,0.660588,0.679761
2.9164,1.71751,0.628978,0.643083,0.623057,0.614511,0.614503,0.640617,0.692129,0.676082,0.66011,0.679372
2.9166,1.71652,0.629363,0.642961,0.623214,0.612489,0.61412,0.641063,0.69385,0.67659,0.659877,0.678555
2.9168,1.71554,0.629488,0.6426,0.623397,0.610857,0.61315,0.641219,0.692498,0.676767,0.659726,0.677713
2.917,1.71461,0.629104,0.642453,0.623773,0.610246,0.61158,0.64129,0.691006,0.67656,0.659311,0.676911
2.9172,1.71442,0.628271,0.642767,0.624165,0.610307,0.610313,0.641564,0.69091,0.677194,0.658116,0.67654
2.9174,1.71488,0.627597,0.643586,0.624449,0.61032,0.609986,0.642246,0.691469,0.678564,0.656126,0.676775
2.9176,1.71535,0.62772,0.644924,0.624439,0.609838,0.61047,0.643244,0.692864,0.679647,0.654372,0.677142
2.9178,1.71572,0.628119,0.646049,0.623973,0.609227,0.611201,0.643783,0.69481,0.679299,0.653862,0.677418
2.918,1.7157,0.628393,0.646755,0.623438,0.608648,0.611585,0.643726,0.697476,0.677503,0.654462,0.677431
2.9182,1.71537,0.627895,0.646783,0.623102,0.608108,0.611426,0.642978,0.698703,0.675192,0.65555,0.677205
2.9184,1.71472,0.62708,0.646563,0.623014,0.60781,0.610908,0.641891,0.697219,0.673729,0.656104,0.676686
2.9186,1.71422,0.626116,0.646561,0.623829,0.608013,0.610549,0.641117,0.694926,0.673719,0.655656,0.676203
2.9188,1.71416,0.625293,0.647107,0.62544,0.608837,0.610689,0.640988,0.694399,0.674722,0.654707,0.67603
2.919,1.71447,0.624799,0.648091,0.62656,0.609951,0.611265,0.641432,0.696574,0.67568,0.654023,0.676197
2.9192,1.71483,0.624288,0.649109,0.626697,0.610751,0.611935,0.641346,0.699879,0.675697,0.654133,0.676474
2.9194,1.71511,0.624134,0.649769,0.625828,0.610833,0.612408,0.640673,0.701563,0.67475,0.655004,0.676627
2.9196,1.71567,0.624155,0.649796,0.624675,0.61052,0.612714,0.639642,0.701162,0.674042,0.655875,0.677014
