TIME,B32Vrms
2.5,226.709
2.505,226.993
2.51,226.214
2.515,226.418
2.52,226.312
2.525,226.519
2.53,229.18
2.535,229.269
2.54,229.289
2.545,229.2
2.55,228.151
2.555,228.445
2.56,229.127
2.565,228.131
2.57,227.049
2.575,226.778
2.58,228.905
2.585,227.304
2.59,227.396
2.595,228.121
2.6,226.381
2.605,225.798
2.61,227.215
2.615,226.961
2.62,227.057
2.625,227.389
2.63,226.603
2.635,225.958
2.64,226.764
2.645,226.927
2.65,227.027
2.655,226.365
2.66,227.782
2.665,229.42
2.67,228.543
2.675,227.907
2.68,228.495
2.685,228.884
2.69,228.545
2.695,228.308
2.7,228.007
2.705,226.357
2.71,227.067
2.715,225.996
2.72,225.556
2.725,225.122
2.73,225.605
2.735,225.847
2.74,226.04
2.745,225.472
2.75,225.01
2.755,225.446
2.76,226.483
2.765,226.247
2.77,225.048
2.775,225.546
2.78,226.425
2.785,226.567
2.79,226.639
2.795,226.421
2.8,225.727
2.805,225.823
2.81,226.771
2.815,226.62
2.82,227.43
2.825,227.073
2.83,227.156
2.835,228.037
2.84,227.715
2.845,229.568
2.85,227.685
2.855,227.194
2.86,227.708
2.865,227.616
2.87,227.355
2.875,227.442
2.88,228.76
2.885,227.556
2.89,227.227
2.895,227.833
2.9,227.311
2.905,226.691
2.91,226.881
2.915,226.466
2.92,226.643
2.925,227.065
2.93,226.772
2.935,227.639
2.94,227.116
2.945,227.416
2.95,225.967
2.955,226.65
2.96,227.102
2.965,227.163
2.97,226.803
2.975,226.86
2.98,226.142
2.985,226.544
2.99,226.447
2.995,225.969
3,225.687
3.005,198.904
3.01,176.793
3.015,154.879
3.02,136.195
3.025,120.195
3.03,111.036
3.035,101.122
3.04,92.3414
3.045,86.9304
3.05,82.5098
3.055,79.3888
3.06,77.8746
3.065,75.9004
3.07,74.0824
3.075,72.1857
3.08,71.7578
3.085,71.7177
3.09,85.9111
3.095,105.971
3.1,123.081
3.105,137.411
3.11,149.894
3.115,159.445
3.12,166.594
3.125,172.981
3.13,177.989
3.135,181.784
3.14,184.371
3.145,186.674
3.15,187.813
3.155,189.696
3.16,191.264
3.165,192.319
3.17,192.88
3.175,192.922
3.18,193.2
3.185,192.535
3.19,192.16
3.195,191.053
3.2,191.041
3.205,191.847
3.21,193.149
3.215,194.257
3.22,193.81
3.225,193.684
3.23,193.863
3.235,194.203
3.24,196.326
3.245,196.289
3.25,196.778
3.255,197.01
3.26,198.362
3.265,199.524
3.27,200.51
3.275,202.266
3.28,202.555
3.285,204.08
3.29,205.112
3.295,205.98
3.3,206.648
3.305,206.735
3.31,207.892
3.315,208.425
3.32,209.835
3.325,210.508
3.33,212.534
3.335,212.019
3.34,212.752
3.345,214.159
3.35,213.963
3.355,213.108
3.36,215.348
3.365,216.218
3.37,216.467
3.375,217.72
3.38,217.873
3.385,219.677
3.39,219.912
3.395,221.477
3.4,222.706
3.405,222.198
3.41,224.867
3.415,224.825
3.42,226
3.425,225.72
3.43,225.974
3.435,227.528
3.44,228.706
3.445,228.953
3.45,229.61
3.455,228.922
3.46,228.688
3.465,229.935
3.47,230.232
3.475,231.895
3.48,230.498
3.485,230.643
3.49,230.575
3.495,230.586
3.5,231.907
3.505,231.302
3.51,231.383
3.515,231.273
3.52,230.868
3.525,231.104
3.53,230.588
3.535,230.632
3.54,230.63
3.545,230.668
3.55,230.556
3.555,229.946
3.56,229.923
3.565,230.585
3.57,231.595
3.575,230.146
3.58,230.838
3.585,230.912
3.59,230.977
3.595,230.009
3.6,229.593
3.605,228.534
3.61,230.929
3.615,231.153
3.62,230.254
3.625,230.127
3.63,229.359
3.635,230.208
3.64,230.625
3.645,228.585
3.65,227.853
3.655,226.676
3.66,227.443
3.665,227.386
3.67,226.848
3.675,227.196
3.68,226.387
3.685,227.656
3.69,228.864
3.695,227.906
3.7,226.727
3.705,226.253
3.71,227.036
3.715,228.824
3.72,229.174
3.725,229.338
3.73,230.099
3.735,228.029
3.74,227.401
3.745,226.993
3.75,226.804
3.755,226.9
3.76,225.643
3.765,226.611
3.77,226.402
3.775,226.177
3.78,226.411
3.785,226.427
3.79,226.769
3.795,227.623
3.8,226.227
3.805,224.705
3.81,224.901
3.815,224.572
3.82,224.966
3.825,225.741
3.83,226.399
3.835,227.105
3.84,228.354
3.845,226.101
3.85,225.852
3.855,224.973
3.86,228.036
3.865,226.854
3.87,226.305
3.875,226.964
3.88,227.07
3.885,226.287
3.89,226.225
3.895,225.597
3.9,225.383
3.905,225.42
3.91,227.496
3.915,226.325
3.92,226.118
3.925,225.479
3.93,224.463
3.935,225.055
3.94,223.389
3.945,225.168
3.95,225.825
3.955,224.986
3.96,225.24
3.965,225.15
3.97,224.351
3.975,224.434
3.98,223.376
3.985,224.586
3.99,224.726
3.995,224.201
4,224.939
4.005,224.969
4.01,226.417
4.015,226.318
4.02,225.749
4.025,226.172
4.03,225.589
4.035,225.833
4.04,224.814
4.045,226.601
4.05,225.52
4.055,224.994
4.06,225.496
4.065,224.738
4.07,224.446
4.075,225.181
4.08,225.437
4.085,225.672
4.09,225.476
4.095,225.239
4.1,226.095
4.105,225.297
4.11,226.522
4.115,226.993
4.12,227.34
4.125,226.39
4.13,226.451
4.135,226.356
4.14,226.091
4.145,224.766
4.15,225.701
4.155,224.947
4.16,225.4
4.165,226.844
4.17,227.053
4.175,227.941
4.18,226.546
4.185,227.781
4.19,227.113
4.195,226.037
4.2,227.1
4.205,226.577
4.21,227.391
4.215,227.62
4.22,227.079
4.225,227.449
4.23,228.132
4.235,226.343
4.24,226.033
4.245,226.874
4.25,226.111
4.255,225.275
4.26,224.23
4.265,224.889
4.27,224.927
4.275,225.951
4.28,227.842
4.285,227.098
4.29,226.351
4.295,225.316
4.3,225.025
4.305,224.033
4.31,224.161
4.315,223.783
4.32,224.092
4.325,224.176
4.33,223.643
4.335,224.419
4.34,223.761
4.345,223.555
4.35,225.189
4.355,224.267
4.36,224.928
4.365,225.366
4.37,226.392
4.375,226.713
4.38,223.733
4.385,224.443
4.39,224.297
4.395,226.726
4.4,224.719
4.405,223.675
4.41,224.665
4.415,226.322
4.42,224.247
4.425,225.064
4.43,222.89
4.435,223.211
4.44,222.653
4.445,222.625
4.45,223.093
4.455,223.476
4.46,224.465
4.465,223.761
4.47,223.256
4.475,223.324
4.48,223.83
4.485,223.125
4.49,222.94
4.495,222.874
4.5,223.948
4.505,223.397
4.51,223.439
4.515,222.428
4.52,222.582
4.525,223.056
4.53,222.592
4.535,222.424
4.54,222.555
4.545,223.65
4.55,223.879
4.555,223.648
4.56,223.847
4.565,224.136
4.57,223.603
4.575,224.12
4.58,222.627
4.585,223.085
4.59,222.623
4.595,223.414
4.6,223.695
4.605,223.889
4.61,225.229
4.615,224.852
4.62,224.788
4.625,224.853
4.63,223.654
4.635,225.118
4.64,224.922
4.645,224.402
4.65,224.601
4.655,223.645
4.66,223.668
4.665,223.894
4.67,223.593
4.675,223.703
4.68,221.547
4.685,226.44
4.69,225.533
4.695,225.255
4.7,224.571
4.705,223.963
4.71,223.227
4.715,223.251
4.72,223.467
4.725,222.362
4.73,223.114
4.735,223.924
4.74,224.483
4.745,223.872
4.75,222.778
4.755,223.7
4.76,224.809
4.765,225.98
4.77,226.998
4.775,226.284
4.78,224.229
4.785,225.101
4.79,224.619
4.795,223.996
4.8,225.504
4.805,224.638
4.81,225.501
4.815,227.098
4.82,225.375
4.825,224.269
4.83,224.076
4.835,224.487
4.84,226.09
4.845,226.825
4.85,226.063
4.855,225.294
4.86,225.941
4.865,228.791
4.87,227.143
4.875,226.229
4.88,226.181
4.885,225.964
4.89,225.921
4.895,224.075
4.9,223.566
4.905,223.141
4.91,222.957
4.915,224.729
4.92,224.13
4.925,224.6
4.93,225.223
4.935,225.147
4.94,224.069
4.945,223.485
4.95,223.414
4.955,223.277
4.96,224.483
4.965,225.053
4.97,224.891
4.975,225.708
4.98,224.979
4.985,225.956
4.99,225.804
4.995,225.234
5,225.524
5.005,224.596
5.01,224.504
5.015,224.319
5.02,225.777
5.025,226.246
5.03,225.796
5.035,226.06
5.04,226.009
5.045,225.612
5.05,227.924
5.055,226.253
5.06,225.427
5.065,227.102
5.07,227.735
5.075,227.794
5.08,226.467
5.085,226.903
5.09,225.277
5.095,224.737
5.1,227.467
5.105,226.383
5.11,226.264
5.115,224.842
5.12,226.013
5.125,225.266
5.13,224.947
5.135,226.265
5.14,225.568
5.145,225.548
5.15,225.202
5.155,225.247
5.16,225.154
5.165,223.965
5.17,224.53
5.175,224.019
5.18,223.642
5.185,225.84
5.19,226.652
5.195,225.616
5.2,226.537
5.205,225.55
5.21,225.472
5.215,225.262
5.22,225.854
5.225,225.368
5.23,223.299
5.235,224.508
5.24,224.057
5.245,224.355
5.25,226.451
5.255,224.428
5.26,224.328
5.265,223.624
5.27,223.458
5.275,221.987
5.28,222.423
5.285,222.964
5.29,222.643
5.295,223.064
5.3,224.247
5.305,223.829
5.31,223.185
5.315,223.494
5.32,224.914
5.325,224.301
5.33,224.296
5.335,224.237
5.34,224.511
5.345,224.71
5.35,226.922
5.355,224.891
5.36,225.067
5.365,223.579
5.37,224.017
5.375,225.256
5.38,222.011
5.385,225.254
5.39,225.842
5.395,225.083
5.4,225.224
5.405,224.315
5.41,224.198
5.415,224.722
5.42,224.516
5.425,224.234
5.43,223.881
5.435,224.459
5.44,224.459
5.445,224.62
5.45,225.434
5.455,225.155
5.46,225.283
5.465,225.557
5.47,225.682
5.475,226.445
5.48,225.038
5.485,230.345
5.49,230.534
