TIME,B32Vrms
2.5,228.426
2.505,229.881
2.51,229.293
2.515,228.148
2.52,227.302
2.525,227.299
2.53,229.338
2.535,227.52
2.54,228.841
2.545,229.265
2.55,227.981
2.555,228.125
2.56,228.712
2.565,227.711
2.57,227.201
2.575,227.702
2.58,227.512
2.585,228.593
2.59,228.929
2.595,228.589
2.6,226.297
2.605,226.696
2.61,225.55
2.615,225.881
2.62,225.472
2.625,225.826
2.63,225.409
2.635,226.182
2.64,226.511
2.645,226.106
2.65,225.583
2.655,226.835
2.66,227.593
2.665,226.002
2.67,226.675
2.675,227.954
2.68,228.533
2.685,226.991
2.69,227.682
2.695,226.993
2.7,226.785
2.705,226.437
2.71,227.184
2.715,227.972
2.72,227.417
2.725,227.931
2.73,227.27
2.735,227.048
2.74,227.57
2.745,227.246
2.75,226.977
2.755,227.49
2.76,228.509
2.765,228.218
2.77,227.345
2.775,226.532
2.78,226.192
2.785,225.698
2.79,227.859
2.795,227.253
2.8,225.962
2.805,226.347
2.81,226.929
2.815,227.515
2.82,226.962
2.825,225.989
2.83,226.128
2.835,225.669
2.84,226.332
2.845,227.027
2.85,225.892
2.855,226.336
2.86,225.988
2.865,225.503
2.87,224.784
2.875,226.095
2.88,226.313
2.885,226.857
2.89,225.709
2.895,226.667
2.9,225.319
2.905,225.337
2.91,226.155
2.915,225.769
2.92,224.416
2.925,224.351
2.93,225.094
2.935,225.356
2.94,224.067
2.945,224.692
2.95,224.763
2.955,225.439
2.96,226.13
2.965,226.236
2.97,226.456
2.975,225.047
2.98,225.175
2.985,225.775
2.99,225.863
2.995,226.758
3,225.314
3.005,197.763
3.01,171.204
3.015,149.795
3.02,129.923
3.025,114.815
3.03,105.046
3.035,96.7117
3.04,89.5822
3.045,85.2612
3.05,80.5034
3.055,77.6448
3.06,75.6488
3.065,73.5204
3.07,72.4889
3.075,71.6882
3.08,70.366
3.085,70.3973
3.09,82.8992
3.095,101.117
3.1,119.952
3.105,133.281
3.11,145.496
3.115,153.108
3.12,160.162
3.125,165.266
3.13,169.401
3.135,172.753
3.14,175.57
3.145,178.575
3.15,178.702
3.155,181.781
3.16,183.054
3.165,183.35
3.17,183.171
3.175,182.784
3.18,184.111
3.185,183.869
3.19,184.04
3.195,183.365
3.2,181.957
3.205,183.444
3.21,182.921
3.215,181.196
3.22,179.347
3.225,177.611
3.23,175.291
3.235,174.625
3.24,172.98
3.245,171.355
3.25,170.618
3.255,169.934
3.26,169.183
3.265,167.427
3.27,165.515
3.275,164.466
3.28,163.695
3.285,163.307
3.29,161.669
3.295,160.793
3.3,160.533
3.305,160.606
3.31,160.281
3.315,158.772
3.32,157.78
3.325,157.885
3.33,158.184
3.335,158.226
3.34,155.979
3.345,155.585
3.35,156.299
3.355,156.602
3.36,157.482
3.365,155.704
3.37,155.153
3.375,155.695
3.38,156.531
3.385,156.242
3.39,155.031
3.395,154.483
3.4,155.147
3.405,155.993
3.41,155.992
3.415,155.826
3.42,155.579
3.425,155.193
3.43,155.895
3.435,157.257
3.44,157.717
3.445,158.855
3.45,157.097
3.455,157.39
3.46,157.973
3.465,157.77
3.47,158.309
3.475,158.764
3.48,158.79
3.485,157.99
3.49,157.796
3.495,156.918
3.5,155.637
3.505,154.987
3.51,154.457
3.515,152.195
3.52,150.523
3.525,149.171
3.53,149.172
3.535,148.101
3.54,146.045
3.545,144.701
3.55,144.333
3.555,144.577
3.56,144.909
3.565,143.18
3.57,142.694
3.575,142.679
3.58,142.804
3.585,142.999
3.59,141.8
3.595,142.213
3.6,140.993
3.605,141.449
3.61,141.203
3.615,139.435
3.62,139.451
3.625,138.834
3.63,139.901
3.635,140.38
3.64,139.377
3.645,138.541
3.65,139.45
3.655,140.896
3.66,141.313
3.665,141.166
3.67,140.851
3.675,141.404
3.68,142.373
3.685,144.539
3.69,146.146
3.695,148.138
3.7,149.752
3.705,150.07
3.71,150.582
3.715,151.525
3.72,150.17
3.725,149.72
3.73,150.19
3.735,150.081
3.74,150.023
3.745,149.256
3.75,149.731
3.755,148.428
3.76,149.049
3.765,148.718
3.77,146.916
3.775,146.822
3.78,147.257
3.785,147.241
3.79,148.682
3.795,147.995
3.8,146.7
3.805,146.776
3.81,146.083
3.815,145.92
3.82,145.412
3.825,143.847
3.83,143.532
3.835,143.787
3.84,142.818
3.845,143.36
3.85,142.236
3.855,142.31
3.86,142.182
3.865,142.093
3.87,140.864
3.875,140.676
3.88,140.201
3.885,140.466
3.89,141.095
3.895,140.477
3.9,141.066
3.905,141.266
3.91,141.957
3.915,142.896
3.92,143.892
3.925,143.076
3.93,144.162
3.935,143.909
3.94,145.179
3.945,145.497
3.95,146.062
3.955,147.362
3.96,148.813
3.965,149.133
3.97,151.474
3.975,151.187
3.98,151.829
3.985,151.679
3.99,152.34
3.995,153.067
4,152.515
4.005,153.314
4.01,152.637
4.015,153.053
4.02,153.46
4.025,153.102
4.03,151.598
4.035,150.63
4.04,150.458
4.045,149.636
4.05,150.459
4.055,150.635
4.06,150.79
4.065,151.009
4.07,150.46
