TIME,B32Vrms
4.485,226.623
4.49,226.837
4.495,227.227
4.5,226.616
4.505,225.944
4.51,225.875
4.515,224.849
4.52,224.315
4.525,223.576
4.53,223.334
4.535,223.29
4.54,222.651
4.545,223.273
4.55,222.746
4.555,223.151
4.56,223.322
4.565,224.103
4.57,224.132
4.575,223.037
4.58,223.765
4.585,223.733
4.59,223.971
4.595,223.912
4.6,222.716
4.605,224.082
4.61,223.869
4.615,225.366
4.62,226.101
4.625,225.349
4.63,225.617
4.635,224.757
4.64,223.975
4.645,224.701
4.65,223.999
4.655,223.275
4.66,224.813
4.665,225.404
4.67,224.574
4.675,224.202
4.68,223.184
4.685,223.303
4.69,222.797
4.695,223.914
4.7,222.952
4.705,222.83
4.71,223.634
4.715,223.947
4.72,224.111
4.725,225.127
4.73,224.01
4.735,224.839
4.74,225.32
4.745,225.5
4.75,226.714
4.755,224.901
4.76,224.413
4.765,224.423
4.77,224.094
4.775,222.555
4.78,223.288
4.785,224.41
4.79,225.134
4.795,225.214
4.8,226.487
4.805,226.772
4.81,226.906
4.815,227.112
4.82,226.656
4.825,225.69
4.83,225.123
4.835,228.471
4.84,227.444
4.845,225.577
4.85,226.828
4.855,226.067
4.86,227.35
4.865,225.386
4.87,224.551
4.875,224.442
4.88,224.243
4.885,223.563
4.89,223.442
4.895,225.036
4.9,225.225
4.905,224.816
4.91,225.036
4.915,224.857
4.92,225.07
4.925,223.775
4.93,223.351
4.935,224.757
4.94,225.322
4.945,224.542
4.95,226.573
4.955,226.99
4.96,227.079
4.965,226.356
4.97,225.583
4.975,224.859
4.98,224.085
4.985,224.638
4.99,223.655
4.995,223.771
5,222.86
5.005,223.139
5.01,223.658
5.015,225.117
5.02,225.171
5.025,225.006
5.03,224.536
5.035,225.038
5.04,224.493
5.045,223.927
5.05,223.584
5.055,223.379
5.06,223.134
5.065,224.473
5.07,223.85
5.075,224.533
5.08,223.882
5.085,225.426
5.09,224.838
5.095,224.941
5.1,225.072
5.105,224.651
5.11,226.147
5.115,226.635
5.12,225.607
5.125,225.056
5.13,223.929
5.135,226.437
5.14,226.369
5.145,226.913
5.15,226.115
5.155,224.916
5.16,224.733
5.165,225.03
5.17,225.208
5.175,225.144
5.18,224.991
5.185,226.439
5.19,227.05
5.195,226.311
5.2,227.307
5.205,225.79
5.21,225.848
5.215,226.43
5.22,225.787
5.225,225.007
5.23,223.879
5.235,224.319
5.24,223.918
5.245,223.266
5.25,224.572
5.255,225.642
5.26,226.039
5.265,225.749
5.27,225.049
5.275,224.43
5.28,225.946
5.285,227.642
5.29,227.301
5.295,226.352
5.3,225.383
5.305,224.797
5.31,224.889
5.315,224.541
5.32,225.228
5.325,224.806
5.33,224.464
5.335,224.67
5.34,224.225
5.345,224.769
5.35,228.71
5.355,226.241
5.36,226.32
5.365,226.212
5.37,225.692
5.375,224.219
5.38,225.441
5.385,225.631
5.39,224.798
5.395,225.001
5.4,225.785
5.405,225.258
5.41,225.977
5.415,225.538
5.42,226.25
5.425,226.903
5.43,226.696
5.435,226.558
5.44,226.653
5.445,225.988
5.45,227.225
5.455,226.472
5.46,225.641
5.465,225.207
5.47,224.36
5.475,223.914
5.48,224.552
5.485,224.895
5.49,224.261
5.495,224.479
5.5,224.409
5.505,224.039
5.51,224.885
5.515,225.145
5.52,226.888
5.525,227.039
5.53,226.222
5.535,227.276
5.54,226.148
5.545,226.313
5.55,226.298
5.555,224.915
5.56,225.565
5.565,225.952
5.57,225.946
5.575,224.539
5.58,224.807
5.585,225.978
5.59,225.318
5.595,224.643
5.6,224.157
5.605,224.398
5.61,226.691
5.615,225.214
5.62,224.815
5.625,223.895
5.63,223.023
5.635,224.257
5.64,223.468
5.645,224.539
5.65,225.833
5.655,224.406
