TIME,B32Vrms
2.5,225.964
2.505,226.099
2.51,225.777
2.515,225.814
2.52,225.523
2.525,226.657
2.53,227.557
2.535,227.041
2.54,226.485
2.545,228.831
2.55,227.466
2.555,228.605
2.56,229.237
2.565,227.888
2.57,226.797
2.575,224.859
2.58,227.632
2.585,227.109
2.59,226.851
2.595,225.576
2.6,226.445
2.605,226.429
2.61,225.633
2.615,225.319
2.62,224.761
2.625,225.454
2.63,224.419
2.635,225.365
2.64,225.1
2.645,227.045
2.65,226.768
2.655,226.39
2.66,224.866
2.665,224.78
2.67,224.876
2.675,225.873
2.68,224.781
2.685,224.039
2.69,224.105
2.695,224.944
2.7,226.073
2.705,225.504
2.71,226.179
2.715,226.164
2.72,227.366
2.725,226.733
2.73,225.318
2.735,225.527
2.74,224.914
2.745,225.818
2.75,224.231
2.755,224.694
2.76,225.373
2.765,225.763
2.77,225.557
2.775,226.088
2.78,227.273
2.785,228.085
2.79,226.952
2.795,226.477
2.8,225.837
2.805,226.368
2.81,226.629
2.815,226.283
2.82,225.84
2.825,225.408
2.83,227.559
2.835,226.877
2.84,227.175
2.845,226.959
2.85,226.942
2.855,226.39
2.86,227.693
2.865,227.239
2.87,226.432
2.875,226.272
2.88,226.128
2.885,225.946
2.89,225.89
2.895,227.835
2.9,226.794
2.905,226.481
2.91,227.063
2.915,226.258
2.92,226.228
2.925,226.2
2.93,225.721
2.935,225.769
2.94,225.44
2.945,227.04
2.95,226.268
2.955,226.508
2.96,228.344
2.965,230.654
2.97,228.689
2.975,227.848
2.98,231.216
2.985,229.469
2.99,228.187
2.995,229.229
3,229.015
3.005,201.759
3.01,177.314
3.015,155.845
3.02,137.365
3.025,121.936
3.03,113.401
3.035,105.169
3.04,97.0024
3.045,91.4727
3.05,85.8723
3.055,83.0288
3.06,81.0041
3.065,78.8794
3.07,77.8969
3.075,75.3834
3.08,75.3156
3.085,75.5603
3.09,86.2331
3.095,104.53
3.1,119.161
3.105,131.643
3.11,142.251
3.115,151.09
3.12,159.12
3.125,164.538
3.13,168.336
3.135,171.559
3.14,174.903
3.145,178.406
3.15,179.389
3.155,181.467
3.16,182.681
3.165,184.959
3.17,186.312
3.175,186.774
3.18,188.396
3.185,189.542
3.19,191.354
3.195,191.589
3.2,192.236
3.205,193.011
3.21,193.182
3.215,194.406
3.22,194.645
3.225,194.769
3.23,195.943
3.235,197.705
3.24,198.663
3.245,199.695
3.25,199.882
3.255,201.405
3.26,203.003
3.265,203.35
3.27,203.869
3.275,205.848
3.28,206.234
3.285,206.742
3.29,208.221
3.295,208.211
3.3,208.579
3.305,208.563
3.31,210.221
3.315,211.252
3.32,211.397
3.325,213.15
3.33,212.994
3.335,213.226
3.34,214.205
3.345,213.874
3.35,213.493
3.355,214.031
