TIME,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9114,0.629179,0.658586,0.619887,0.624758,0.636891,0.634815,0.700363,0.687557,0.668817,0.674734
2.9116,0.631946,0.659537,0.620858,0.625043,0.638378,0.634334,0.699973,0.687356,0.669063,0.674896
2.9118,0.634468,0.660022,0.620789,0.625523,0.638678,0.634585,0.698999,0.68547,0.668835,0.674662
2.912,0.633858,0.660125,0.619643,0.625745,0.637795,0.63522,0.698386,0.682932,0.668495,0.674102
2.9122,0.630039,0.659955,0.618213,0.624984,0.636606,0.635603,0.698341,0.68135,0.668327,0.673427
2.9124,0.625954,0.659679,0.617482,0.623612,0.636454,0.635389,0.698398,0.681432,0.668185,0.673068
2.9126,0.623977,0.660078,0.618186,0.622355,0.63711,0.634699,0.698521,0.683129,0.667762,0.672704
2.9128,0.624832,0.661205,0.619795,0.622425,0.63786,0.634057,0.698138,0.684563,0.667082,0.671804
2.913,0.627743,0.662861,0.621527,0.623256,0.638053,0.634053,0.698003,0.684638,0.666661,0.670696
2.9132,0.63005,0.663976,0.622284,0.623838,0.63759,0.634794,0.698685,0.683538,0.666917,0.669751
2.9134,0.630034,0.66435,0.621529,0.623165,0.636973,0.635923,0.698499,0.682308,0.667569,0.669364
2.9136,0.628768,0.663965,0.619823,0.621604,0.636542,0.636922,0.698532,0.681438,0.668016,0.669475
2.9138,0.62728,0.66296,0.618638,0.61995,0.636431,0.637324,0.699405,0.681307,0.667869,0.669717
2.914,0.626803,0.662414,0.618734,0.619238,0.636651,0.637102,0.699361,0.681854,0.667094,0.669274
2.9142,0.627399,0.662663,0.619815,0.619363,0.636895,0.636625,0.698233,0.682065,0.666485,0.667777
2.9144,0.628061,0.663472,0.621004,0.619731,0.636779,0.63633,0.697762,0.681636,0.666628,0.665653
2.9146,0.628719,0.664223,0.621354,0.619659,0.636681,0.636617,0.697451,0.681125,0.667612,0.664077
2.9148,0.629252,0.664049,0.620885,0.618959,0.636966,0.636892,0.696349,0.68097,0.668675,0.663391
2.915,0.629553,0.662922,0.620053,0.618482,0.637396,0.637039,0.69557,0.680687,0.668985,0.663392
2.9152,0.629058,0.661381,0.619427,0.618784,0.637676,0.636546,0.694842,0.680166,0.668296,0.663664
2.9154,0.628118,0.660125,0.619686,0.619269,0.637525,0.63544,0.693875,0.67961,0.667411,0.663775
2.9156,0.627318,0.659689,0.620375,0.619552,0.63719,0.634643,0.694137,0.678952,0.667008,0.663449
2.9158,0.626674,0.660375,0.621282,0.619189,0.636563,0.634386,0.695201,0.678334,0.667736,0.662664
2.916,0.626671,0.661361,0.622029,0.61849,0.636512,0.634184,0.695771,0.677984,0.668762,0.661805
2.9162,0.627036,0.662054,0.621787,0.618255,0.637035,0.633494,0.695082,0.677938,0.66947,0.661422
2.9164,0.627863,0.661815,0.620567,0.618473,0.637771,0.632503,0.693842,0.678061,0.669239,0.661727
2.9166,0.628584,0.660949,0.619306,0.618857,0.637936,0.631291,0.693512,0.678157,0.668122,0.662565
2.9168,0.62916,0.660213,0.618534,0.619161,0.637558,0.630343,0.693605,0.677953,0.667034,0.663429
2.917,0.629565,0.659946,0.618453,0.618809,0.636435,0.630166,0.694009,0.677439,0.666548,0.663922
2.9172,0.629518,0.659798,0.619168,0.617876,0.634995,0.630761,0.694861,0.677351,0.667082,0.664126
2.9174,0.628835,0.659421,0.62014,0.616888,0.6349,0.631483,0.695003,0.677586,0.667916,0.664314
2.9176,0.628271,0.659017,0.620837,0.616291,0.636589,0.631078,0.694572,0.67774,0.668574,0.66423
2.9178,0.628332,0.658352,0.620834,0.616289,0.638593,0.629424,0.694331,0.677484,0.668844,0.663815
2.918,0.62895,0.657378,0.62041,0.616769,0.639544,0.627617,0.693562,0.676633,0.668531,0.663292
2.9182,0.629761,0.656457,0.620559,0.617167,0.638594,0.626746,0.693368,0.675792,0.667979,0.663004
2.9184,0.630103,0.655829,0.621017,0.616909,0.63639,0.627156,0.693849,0.675263,0.667394,0.663247
2.9186,0.629655,0.655528,0.621288,0.616091,0.634855,0.628314,0.694963,0.674956,0.667485,0.664055
2.9188,0.628771,0.655782,0.621646,0.615242,0.635287,0.629247,0.695855,0.67533,0.668108,0.665054
2.919,0.628335,0.656297,0.622087,0.614967,0.637319,0.629326,0.695807,0.675781,0.669419,0.665735
2.9192,0.628772,0.656449,0.622194,0.615308,0.639058,0.628735,0.69578,0.676004,0.67057,0.665906
2.9194,0.629911,0.655717,0.621938,0.615777,0.639619,0.628333,0.69732,0.675485,0.670801,0.665693
2.9196,0.631131,0.654098,0.621701,0.615769,0.638672,0.628551,0.698726,0.674652,0.670282,0.665433
2.9198,0.631537,0.652339,0.621777,0.615171,0.637339,0.62929,0.697604,0.674032,0.669186,0.665358
2.92,0.630885,0.651566,0.622074,0.614167,0.636324,0.630327,0.694476,0.673901,0.668112,0.665794
2.9202,0.630114,0.65231,0.622439,0.613388,0.636499,0.631024,0.691978,0.67398,0.668144,0.666697
2.9204,0.62996,0.654205,0.622403,0.613006,0.637617,0.630991,0.692174,0.674238,0.66908,0.6673
2.9206,0.630568,0.655793,0.622349,0.612527,0.638295,0.630504,0.693067,0.674481,0.670428,0.667042
2.9208,0.631835,0.656464,0.622583,0.611909,0.637891,0.630135,0.692727,0.674526,0.671321,0.665735
2.921,0.632952,0.656045,0.622971,0.611226,0.63708,0.630333,0.692176,0.674576,0.671616,0.664504
2.9212,0.63332,0.655041,0.623887,0.610804,0.636095,0.631088,0.692844,0.675053,0.67169,0.663884
2.9214,0.632815,0.654329,0.62482,0.610174,0.635184,0.632098,0.693271,0.676053,0.671675,0.664366
2.9216,0.632294,0.654978,0.62537,0.609533,0.634652,0.633068,0.693699,0.677217,0.671444,0.665531
