TIME,B32Vrms
4.485,224.223
4.49,224.219
4.495,224.115
4.5,223.901
4.505,223.922
4.51,224.001
4.515,224.712
4.52,224.793
4.525,223.439
4.53,225.405
4.535,225.527
4.54,225.594
4.545,228.745
4.55,228.045
4.555,227.2
4.56,226.164
4.565,225.835
4.57,225.644
4.575,225.242
4.58,224.711
4.585,225.316
4.59,226.046
4.595,225.22
4.6,225.524
4.605,224.499
4.61,225.355
4.615,225.027
4.62,225.752
4.625,226.515
4.63,225.065
4.635,225.384
4.64,225.605
4.645,223.514
4.65,225.914
4.655,225.591
4.66,225.585
4.665,226.022
4.67,225.364
4.675,224.212
4.68,224.663
4.685,224.604
4.69,223.786
4.695,224.752
4.7,224.671
4.705,224.559
4.71,225.2
4.715,225.324
4.72,225.146
4.725,224.874
4.73,224.718
4.735,224.87
4.74,225.03
4.745,225.804
4.75,225.462
4.755,224.574
4.76,225.639
4.765,227.297
4.77,227.033
4.775,225.683
4.78,225.783
4.785,225.067
4.79,226.103
4.795,226.207
4.8,225.125
4.805,225.935
4.81,226.549
4.815,225.979
4.82,226.281
4.825,225.593
4.83,226.249
4.835,225.678
4.84,225.907
4.845,225.443
4.85,226.131
4.855,225.636
4.86,225.37
4.865,225.119
4.87,224.916
4.875,224.325
4.88,223.425
4.885,227.901
4.89,227.543
4.895,227.068
4.9,228.368
4.905,228.503
4.91,227.544
4.915,226.375
4.92,225.58
4.925,224.852
4.93,226.399
4.935,225.726
4.94,225.68
4.945,224.178
4.95,224.587
4.955,223.389
4.96,223.419
4.965,224.451
4.97,224.407
4.975,225.054
4.98,224.855
4.985,225.879
4.99,225.683
4.995,223.54
5,227.234
5.005,227.516
5.01,225.267
5.015,225.312
5.02,224.673
5.025,222.925
5.03,223.858
5.035,224.592
5.04,223.728
5.045,223.535
5.05,224.475
5.055,223.999
5.06,225.177
5.065,225.033
5.07,224.137
5.075,223.044
5.08,223.708
5.085,223.416
5.09,223.919
5.095,224.582
5.1,223.832
5.105,223.756
5.11,223.881
5.115,223.697
5.12,224.985
5.125,224.128
5.13,223.522
5.135,224.155
5.14,225.229
5.145,224.486
5.15,224.631
5.155,224.415
5.16,226.087
5.165,224.605
5.17,225.015
5.175,224.493
5.18,224.431
5.185,224.367
5.19,224.021
5.195,224.306
5.2,223.627
5.205,223.833
5.21,224.795
5.215,225.16
5.22,225.308
5.225,225.052
5.23,225.979
5.235,227.32
5.24,226.21
5.245,226.504
5.25,226.012
5.255,225.368
5.26,226.162
5.265,225.673
5.27,226.37
5.275,225.307
5.28,224.575
5.285,226.186
5.29,225.319
5.295,225.166
5.3,225.619
5.305,224.024
5.31,224.504
5.315,224.628
5.32,224.587
5.325,225.23
5.33,224.521
5.335,225.852
5.34,226.11
5.345,225.506
5.35,225.044
5.355,223.642
5.36,224.634
5.365,225.257
5.37,224.302
5.375,223.263
5.38,224.92
5.385,225.449
5.39,224.383
5.395,223.705
5.4,224.566
5.405,224.139
5.41,224.055
5.415,224.276
5.42,225.659
5.425,225.159
5.43,223.193
5.435,223.731
5.44,223.605
5.445,223.95
5.45,223.376
5.455,223.604
5.46,224.817
5.465,225.062
5.47,224.537
5.475,223.812
5.48,225.117
5.485,225.348
5.49,225.173
5.495,224.778
5.5,225.648
5.505,225.81
5.51,226.187
5.515,226.4
5.52,226.013
5.525,225.932
5.53,226.19
5.535,226.417
5.54,225.689
5.545,225.571
5.55,226.812
5.555,224.531
5.56,224.488
5.565,225.062
5.57,226.34
5.575,225.285
5.58,224.915
5.585,225.722
5.59,226.02
5.595,225.602
5.6,226.721
5.605,226.251
5.61,226.283
5.615,226.509
5.62,226.306
5.625,226.046
5.63,225.103
5.635,226.792
5.64,225.816
5.645,225.391
5.65,226.725
5.655,225.315
5.66,225.16
5.665,224.742
5.67,225.974
5.675,225.915
5.68,227.776
5.685,227.194
5.69,226.893
5.695,226.937
5.7,225.62
5.705,226.848
5.71,226.962
5.715,226.498
5.72,226.488
5.725,225.812
5.73,225.213
5.735,227.012
5.74,227.156
5.745,227.097
5.75,228.497
5.755,226.643
5.76,226.225
5.765,226.128
5.77,228.904
5.775,226.671
5.78,225.71
5.785,225.644
5.79,225.26
5.795,224.936
5.8,225.041
5.805,226.164
5.81,225.764
5.815,226.199
5.82,226.077
5.825,225.04
5.83,224.964
5.835,225.953
5.84,224.548
5.845,223.418
5.85,223.734
5.855,223.809
5.86,224.997
5.865,226.332
5.87,224.78
5.875,224.399
5.88,225.461
5.885,226.28
5.89,225.204
5.895,225.516
5.9,224.399
5.905,224.531
5.91,223.975
5.915,224.2
5.92,225.906
5.925,225.114
5.93,223.867
5.935,225.7
5.94,226.489
5.945,225.42
5.95,224.429
5.955,225.627
5.96,224.398
5.965,225.369
5.97,224.982
5.975,225.32
5.98,225.695
5.985,226.62
5.99,225.746
5.995,226.554
6,225.617
6.005,224.61
6.01,224.244
6.015,223.886
6.02,224.457
6.025,223.769
6.03,223.368
6.035,225.585
6.04,225.655
6.045,225.458
6.05,225.802
6.055,224.962
6.06,226.032
6.065,226.456
6.07,226.929
6.075,225.187
6.08,224.986
6.085,225.372
6.09,225.193
6.095,224.452
6.1,226.746
6.105,226.389
6.11,227.212
6.115,226.759
6.12,226.906
6.125,226.288
6.13,228.301
6.135,231.182
6.14,229.506
6.145,227.229
6.15,227.773
6.155,227.671
6.16,226.406
6.165,228.198
6.17,227.95
6.175,224.882
6.18,225.563
6.185,225.488
6.19,224.687
6.195,224.747
6.2,226.647
6.205,225.448
6.21,225.005
6.215,223.086
6.22,226.252
6.225,225.881
6.23,224.512
6.235,224.716
6.24,224.426
6.245,223.973
6.25,223.816
6.255,223.795
6.26,223.638
6.265,224.124
6.27,225.003
6.275,223.621
6.28,223.545
6.285,224.096
6.29,224.473
6.295,223.628
6.3,224.292
6.305,224.245
6.31,224.098
6.315,224.432
6.32,222.765
6.325,222.625
6.33,223.569
6.335,224.32
6.34,223.982
6.345,224.506
6.35,223.756
6.355,223.402
6.36,223.833
6.365,223.097
6.37,223.932
6.375,224.297
6.38,223.001
6.385,224.697
6.39,224.53
6.395,224.519
6.4,224.072
6.405,223.748
6.41,223.568
6.415,224.108
6.42,225.134
6.425,224.174
6.43,224.07
6.435,225.623
6.44,225.785
6.445,224.349
6.45,223.714
6.455,223.864
6.46,223.638
6.465,223.886
6.47,223.873
6.475,224.037
6.48,223.524
6.485,225.59
6.49,225.481
6.495,225.598
6.5,227.08
6.505,227.185
6.51,226.387
6.515,226.004
6.52,225.658
6.525,225.24
6.53,224.767
6.535,224.959
6.54,224.549
6.545,224.479
6.55,224.79
6.555,223.841
6.56,223.992
6.565,224.529
6.57,225.831
6.575,225.079
6.58,225.027
6.585,226.282
6.59,224.153
6.595,223.824
6.6,224.466
6.605,225.585
6.61,225.957
6.615,225.492
6.62,224.675
6.625,224.206
6.63,224.607
6.635,226.072
6.64,225.939
6.645,226.063
6.65,224.509
6.655,224.058
6.66,225.159
6.665,225.146
6.67,224.287
6.675,225.13
6.68,224.538
6.685,224.576
6.69,224.566
6.695,224.877
6.7,223.993
6.705,225.558
6.71,225.217
6.715,224.307
6.72,225.235
6.725,224.249
6.73,223.636
6.735,224.819
6.74,225.168
6.745,225.334
6.75,224.962
6.755,226.197
6.76,227.266
6.765,226.558
6.77,226.231
6.775,225.711
6.78,225.032
6.785,227.091
6.79,225.771
6.795,224.928
6.8,224.666
6.805,224.68
6.81,224.89
6.815,225.06
6.82,225.666
6.825,224.883
6.83,224.476
6.835,225.299
6.84,226.518
6.845,227.023
6.85,225.278
6.855,225.423
6.86,225.637
6.865,225.587
6.87,224.927
6.875,226.12
6.88,225.399
6.885,226.352
6.89,225.161
6.895,224.666
6.9,224.518
6.905,224.496
6.91,225.672
6.915,225.877
6.92,226.363
6.925,226.15
6.93,225.107
6.935,225.464
6.94,225.954
6.945,225.299
6.95,226.057
6.955,225.922
6.96,225.917
6.965,225.999
6.97,225.463
6.975,225.21
6.98,224.928
6.985,225.05
6.99,225.141
6.995,225.033
7,226.14
7.005,225.352
7.01,226.018
7.015,226.187
7.02,227.1
7.025,226.984
7.03,226.091
7.035,225.342
7.04,225.614
7.045,225.614
7.05,224.147
7.055,223.711
7.06,224.892
7.065,225.087
7.07,225.314
7.075,224.649
7.08,224.463
7.085,225.045
7.09,224.311
7.095,223.634
7.1,223.85
7.105,223.638
7.11,224.555
7.115,225.23
7.12,225.253
7.125,224.822
7.13,224.383
7.135,226.538
7.14,226.927
7.145,226.705
7.15,224.949
7.155,225.872
7.16,224.604
7.165,225.225
7.17,227.019
7.175,226.049
7.18,225.803
7.185,226.631
7.19,225.004
7.195,224.878
7.2,226.112
7.205,227.481
7.21,226.926
7.215,226.879
7.22,227.267
7.225,225.814
7.23,226.585
7.235,226.644
7.24,225.631
7.245,225.692
7.25,224.957
7.255,224.653
7.26,225.275
7.265,224.115
7.27,225.381
7.275,224.631
7.28,224.333
7.285,226.375
7.29,227.823
7.295,227.219
7.3,227.713
7.305,227.091
7.31,226.134
7.315,225.778
7.32,226.257
7.325,226.064
7.33,225.425
7.335,225.484
7.34,224.877
7.345,225.52
7.35,225.779
7.355,225.999
7.36,226.282
7.365,226.799
7.37,225.759
7.375,224.124
7.38,224.567
7.385,225.904
7.39,225.42
7.395,225.414
7.4,228.123
7.405,226.128
7.41,226.532
7.415,226.201
7.42,226.395
7.425,225.936
7.43,227.122
7.435,226.35
7.44,225.918
7.445,225.238
7.45,226.776
7.455,226.374
7.46,226.264
7.465,225.826
7.47,226.267
7.475,224.745
7.48,224.833
7.485,225.483
7.49,224.726
7.495,224.648
7.5,223.843
7.505,224.206
7.51,224.104
7.515,224.046
7.52,225.208
7.525,225.109
7.53,225.031
7.535,225.256
7.54,224.658
7.545,224.843
7.55,226.043
7.555,224.547
7.56,224.625
7.565,223.946
7.57,225.257
7.575,226.623
7.58,225.223
7.585,225.686
7.59,224.667
7.595,225.118
7.6,225.522
7.605,224.109
7.61,226.299
7.615,227.107
7.62,226.853
7.625,225.548
7.63,225.497
7.635,226.375
7.64,225.052
7.645,225.439
7.65,224.195
7.655,223.473
7.66,225.482
7.665,226.128
7.67,225.425
7.675,225.551
7.68,225.318
7.685,226.103
7.69,224.815
7.695,225.184
7.7,226.882
7.705,225.687
7.71,225.068
7.715,224.85
7.72,224.627
7.725,224.056
7.73,223.318
7.735,224.277
7.74,223.686
7.745,223.408
7.75,223.697
7.755,224.068
7.76,225.087
7.765,224.126
7.77,224.582
7.775,225.187
7.78,224.23
7.785,225.911
7.79,226.954
7.795,227.18
7.8,226.102
7.805,224.496
7.81,224.994
7.815,224.62
7.82,225.114
7.825,223.995
7.83,223.69
7.835,224.491
7.84,224.737
7.845,224.991
7.85,224.863
7.855,223.729
7.86,226.261
7.865,225.566
7.87,226.054
7.875,225.846
7.88,225.652
7.885,227.103
7.89,225.691
7.895,225.18
7.9,224.377
7.905,225.999
7.91,227.433
7.915,226.938
7.92,226.617
7.925,225.134
7.93,225.21
7.935,226.242
7.94,226.165
7.945,226.164
7.95,225.734
7.955,225.075
7.96,225.869
7.965,224.836
7.97,226.088
7.975,226.324
7.98,225.811
7.985,227.389
7.99,226.239
7.995,228.172
8,227.536
8.005,225.751
8.01,225.464
8.015,225.17
8.02,226.064
8.025,225.119
8.03,224.815
8.035,226.083
8.04,226.185
8.045,225.213
8.05,226.42
8.055,225.908
8.06,226.7
8.065,226.047
8.07,225.059
8.075,225.506
8.08,224.785
8.085,225.381
8.09,224.422
8.095,224.382
8.1,224.652
8.105,223.973
8.11,224.079
8.115,224.58
8.12,225.558
8.125,226.119
8.13,225.41
8.135,225.945
8.14,224.946
8.145,224.934
8.15,226.115
8.155,225.36
8.16,228.671
8.165,227.561
8.17,226.998
8.175,227.748
8.18,227.106
8.185,228.481
8.19,228.931
8.195,227.685
8.2,227.28
8.205,225.722
8.21,225.656
8.215,225.648
8.22,226.051
8.225,224.105
8.23,225.164
8.235,225.619
8.24,227.258
8.245,226.612
8.25,226.264
8.255,224.626
8.26,225.846
8.265,225.344
8.27,228.213
8.275,227.933
8.28,227.688
8.285,228.053
8.29,227.313
8.295,226.875
8.3,225.54
8.305,224.958
8.31,226.276
8.315,226.792
8.32,225.812
8.325,224.697
8.33,224.357
8.335,225.918
8.34,225.724
8.345,226.324
8.35,224.677
8.355,225.71
8.36,224.979
8.365,224.548
8.37,225.53
8.375,225.519
8.38,223.773
8.385,224.974
8.39,225.094
8.395,224.394
8.4,223.441
8.405,222.769
8.41,223.374
8.415,224.35
8.42,224.922
8.425,223.349
8.43,223.167
8.435,223.328
8.44,223.582
