TIME,V_pu,I_pu,P_pu,Q_pu,f_drp
0.0,0.0,0.0,0.0,0.0,60.0
4.5e-05,0.0019620116420156,4.2794344696835e-09,-3.5670414432362e-09,-8.1482333812606e-16,60.0
9e-05,0.0043110487660164,8.5466616165185e-09,-7.8368025431673e-09,1.5016264677724e-14,60.0
0.000135,0.0066534516242853,1.2793376817086e-08,-1.2087828282805e-08,1.7253427319813e-13,60.0
0.00018,0.0089885581883748,1.7013575013032e-08,-1.6312948317414e-08,7.1269331818089e-13,60.0
0.000225,0.011315708557452,2.1199781198225e-08,-2.0505636257861e-08,1.970807975458e-12,60.0
0.00027,0.013634245038315,2.5347220323263e-08,-2.4659967678741e-08,4.3517360207753e-12,60.0
0.000315,0.01594351244461,2.9449580194681e-08,-2.8770586630078e-08,8.3203094207213e-12,60.0
0.00036,0.018242858175645,3.3503166444595e-08,-3.2832665201856e-08,1.4380334140335e-11,60.0
0.000405,0.020531632513983,3.7502690181313e-08,-3.6841874919737e-08,2.3068602605201e-11,60.0
0.00045,0.02280918870284,4.1445402630738e-08,-4.079434841481e-08,3.4936938057917e-11,60.0
0.000495,0.025074883241837,4.5326912558524e-08,-4.4686655326827e-08,5.0549268569541e-11,60.0
0.00054,0.027328075962768,4.9145294929607e-08,-4.8515766021099e-08,7.0466159720008e-11,60.0
0.000585,0.0295681303233,5.289694336786e-08,-5.2279031632986e-08,9.5244493675941e-11,60.0
0.00063,0.031794413480891,5.6580646910451e-08,-5.5974149754253e-08,1.2542401370645e-10,60.0
0.000675,0.034006296584228,6.0193483060885e-08,-5.9599148265934e-08,1.6152920837231e-10,60.0
0.00072,0.036203154845089,6.3734856427598e-08,-6.3152352902512e-08,2.0405746231631e-10,60.0
0.000765,0.038384367827303,6.7202438244198e-08,-6.6632374535961e-08,2.5348279581914e-10,60.0
0.00081,0.040549319516349,7.0596160380737e-08,-7.0038078516819e-08,3.102452791508e-10,60.0
0.000855,0.042697398605635,7.3914207540014e-08,-7.3368575089562e-08,3.7475632221043e-10,60.0
0.0009,0.044827998563624,7.7156959819827e-08,-7.6623190404084e-08,4.4738906519149e-10,60.0
0.000945,0.046940517917227,8.0323044138338e-08,-7.9801459760975e-08,5.2848495227774e-10,60.0
0.00099,0.04903436031626,8.3413218210715e-08,-8.2903100184389e-08,6.1834486012555e-10,60.0
0.001035,0.051108934813744,8.6426488103402e-08,-8.5928006214802e-08,7.1723672414629e-10,60.0
0.00108,0.05316365592749,8.9363926173593e-08,-8.8876223934103e-08,8.2538720897415e-10,60.0
0.001125,0.055197943917122,9.2224861995977e-08,-9.1747949042636e-08,9.429901862034e-10,60.0
0.00117,0.057211224842583,9.5010626503175e-08,-9.4543502229032e-08,1.0701987881801e-09,60.0
0.001215,0.059202930837686,9.7720823863874e-08,-9.7263329287468e-08,1.2071345626253e-09,60.0
0.00126,0.061172500165356,1.0035699376162e-07,-9.9907977727858e-08,1.3538797833156e-09,60.0
0.001305,0.063119377487514,1.0291897212479e-07,-1.0247809870802e-07,1.5104871302194e-09,60.0
0.00135,0.065043013916873,1.0540846319522e-07,-1.04974424784e-07,1.6769721584272e-09,60.0
0.001395,0.066943787950697,1.0782549731286e-07,-1.0739777345006e-07,1.8533233726354e-09,60.0
0.00144,0.068844719231379,1.1017190415989e-07,-1.0974902593372e-07,2.0394947795238e-09,60.0
0.001485,0.070760676904757,1.1244787608061e-07,-1.1202913215408e-07,2.2354162429831e-09,60.0
0.00153,0.07269103126203,1.1465533364687e-07,-1.1423909047157e-07,2.4409860654527e-09,60.0
0.001575,0.074635148654192,1.167946032407e-07,-1.1637995389171e-07,2.6560815255172e-09,60.0
0.00162,0.076592391619922,1.1886766587906e-07,-1.1845281068519e-07,2.8805514509081e-09,60.0
0.001665,0.078562119122678,1.2087495799707e-07,-1.2045879168017e-07,3.1142268532747e-09,60.0
0.00171,0.080543686680796,1.2281849430035e-07,-1.2239905167401e-07,3.3569134699833e-09,60.0
0.001755,0.082536446606523,1.2469880085407e-07,-1.2427477767204e-07,3.6084024222552e-09,60.0
0.0018,0.084539748138114,1.2651790260615e-07,-1.2608717101816e-07,3.8684627148979e-09,60.0
0.001845,0.086552937680596,1.282763980054e-07,-1.2783745645184e-07,4.1368518538235e-09,60.0
0.00189,0.08857535893964,1.2997630176475e-07,-1.2952686489058e-07,4.4133083027157e-09,60.0
0.001935,0.090606353163848,1.3161827029421e-07,-1.311566431899e-07,4.6975620044062e-09,60.0
0.00198,0.092645259280184,1.3320429025689e-07,-1.3272803751601e-07,4.9893268014879e-09,60.0
0.002025,0.09469141413756,1.3473506410244e-07,-1.3424230370571e-07,5.2883108133116e-09,60.0
0.00207,0.096744152643617,1.362125350167e-07,-1.3570069117297e-07,5.5942088339481e-09,60.0
0.002115,0.098802808009387,1.3763744177266e-07,-1.3710445377655e-07,5.906712522834e-09,60.0
0.00216,0.1008667118872,1.3901167079251e-07,-1.3845483420935e-07,6.2255027984755e-09,60.0
0.002205,0.10293519461621,1.403359893908e-07,-1.3975307529174e-07,6.5502598061682e-09,60.0
0.00225,0.10500758536122,1.4161221586129e-07,-1.4100040479722e-07,6.8806553296177e-09,60.0
0.002295,0.10708321235881,1.4284113996483e-07,-1.4219804709879e-07,7.216362503805e-09,60.0
0.00234,0.10916140305687,1.4402450222823e-07,-1.4334720838892e-07,7.5570482694503e-09,60.0
0.002385,0.1112414843612,1.4516311022297e-07,-1.4444908861474e-07,7.9023828031019e-09,60.0
0.00243,0.11332278277539,1.4625861862316e-07,-1.4550486705451e-07,8.2520320412406e-09,60.0
0.002475,0.11540462464769,1.4731184942727e-07,-1.4651571448487e-07,8.6056668031351e-09,60.0
0.00252,0.11748633631117,1.4832436477011e-07,-1.474827790802e-07,8.9629554125104e-09,60.0
0.002565,0.11956724433044,1.4929699875565e-07,-1.4840719876192e-07,9.3235724917171e-09,60.0
0.00261,0.12164667564194,1.50231215556e-07,-1.4929008739051e-07,9.6871917093894e-09,60.0
0.002655,0.12372395780037,1.5112785994788e-07,-1.5013254725334e-07,1.0053494227091e-08,60.0
0.0027,0.12579841911875,1.5198829386025e-07,-1.5093565552239e-07,1.0422161601374e-08,60.0
0.002745,0.12786938891443,1.5281337204046e-07,-1.5170047684242e-07,1.0792883866347e-08,60.0
0.00279,0.12993619764866,1.5360435093051e-07,-1.5242805003069e-07,1.1165352618105e-08,60.0
0.002835,0.13199817717197,1.5436209513294e-07,-1.531194007321e-07,1.1539268718688e-08,60.0
0.00288,0.13405466086306,1.5508775330122e-07,-1.5377552834005e-07,1.1914335590044e-08,60.0
0.002925,0.13610498387322,1.5578220023388e-07,-1.5439741868954e-07,1.229026652664e-08,60.0
0.00297,0.13814848326445,1.5644647535249e-07,-1.5498603118082e-07,1.2666778225062e-08,60.0
0.003015,0.14018449825265,1.5708146433079e-07,-1.5554231148536e-07,1.3043597694116e-08,60.0
0.00306,0.1422123703447,1.5768809669812e-07,-1.5606717885627e-07,1.3420456044885e-08,60.0
0.003105,0.14423144358028,1.5826726991505e-07,-1.5656153882539e-07,1.3797094988607e-08,60.0
0.00315,0.14624106466764,1.5881980367377e-07,-1.5702627068667e-07,1.4173260910547e-08,60.0
