TIME,Vsource,V_error,Status,Idq,Idq_limit
0.0,0.0,0.84099147835556,0.0,0.0,13016.612159717
0.00026,3.5065826018705e-05,0.84097201821715,0.0,26.978873077586,13016.612159717
0.00052,0.0001389541931784,0.84078459559125,0.0,57.791064349805,13016.612159717
0.00078,0.00030765123908076,0.84028749087415,0.0,86.574693377438,13016.612159717
0.00104,0.00053534260885246,0.83941090052992,0.0,113.01285889361,13016.612159717
0.0013,0.00081441120240132,0.8381325973402,0.0,137.19426738117,13016.612159717
0.00156,0.0011442629412754,0.8364599741912,0.0,159.43566241259,13016.612159717
0.00182,0.0015490179349053,0.8344179288138,0.0,180.15509915109,13016.612159717
0.00208,0.0020312428349953,0.83204033409352,0.0,199.78794107267,13016.612159717
0.00234,0.0025893402614192,0.82936472864487,0.0,218.73295518127,13016.612159717
0.0026,0.0032196430887707,0.82642869194456,0.0,237.32507233753,13016.612159717
0.00286,0.0039164389217681,0.82326795424778,0.0,255.82453648088,13016.612159717
0.00312,0.0046720271137524,0.81991515598935,0.0,274.41976769455,13016.612159717
0.00338,0.005476807760897,0.81639951047504,0.0,293.23591169502,13016.612159717
0.00364,0.0063194016740427,0.81274660693445,0.0,312.34764310771,13016.612159717
0.0039,0.0071867999103345,0.8089786658866,0.0,331.79132304586,13016.612159717
0.00416,0.008064541043257,0.80511472920545,0.0,351.57662078233,13016.612159717
0.00442,0.0089916594981026,0.80117105838977,0.0,371.69552036729,13016.612159717
0.00468,0.010019167265252,0.79716142506375,0.0,392.12951338892,13016.612159717
0.00494,0.0111399895459,0.7930974687131,0.0,412.85456312761,13016.612159717
0.0052,0.012344735679449,0.78898898386884,0.0,433.84452942524,13016.612159717
0.00546,0.013621879208361,0.78484418005428,0.0,455.07349349031,13016.612159717
0.00572,0.014957861671402,0.78066994164126,0.0,476.51688507415,13016.612159717
0.00598,0.016337228822384,0.77647198527452,0.0,498.15239775313,13016.612159717
0.00624,0.017742797907474,0.77225509677661,0.0,519.95997223581,13016.612159717
0.0065,0.019155854212546,0.76802319912759,0.0,541.9221533453,13016.612159717
0.00676,0.020556374689395,0.76377957669243,0.0,564.02358604034,13016.612159717
0.00702,0.021931245976568,0.75952687046985,0.0,586.25122420568,13016.612159717
0.00728,0.023393055442071,0.75526729772115,0.0,608.59365536861,13016.612159717
0.00754,0.02497530729797,0.7510025902223,0.0,631.04116141058,13016.612159717
0.0078,0.02666304972708,0.74673421335782,0.0,653.58493263758,13016.612159717
0.00806,0.02843902640239,0.74246326129667,0.0,676.21751197697,13016.612159717
0.00832,0.030283826143503,0.73819067603223,0.0,698.93214706274,13016.612159717
0.00858,0.032176066151417,0.73391711188464,0.0,721.7231299316,13016.612159717
