!Seconds	Report_1_VA_V	Report_1_VB_V	Report_1_VC_V
0.128103652	20431.31	-29144.81	8668.11
0.129145146	26803.05	-24025.63	-2822.81
0.130186639	29326.33	-15284.92	-14095.89
0.131228132	27438.42	-4501.97	-22990.90
0.132269625	20912.37	7361.08	-28318.83
0.133311118	11627.06	17944.35	-29607.71
0.134352611	508.28	25713.87	-26249.39
0.135394104	-11073.39	29825.55	-18752.16
0.136435597	-20558.39	29144.81	-8586.41
0.137477090	-26921.05	23962.09	2986.18
0.138518584	-29489.72	15248.60	14268.34
0.139560077	-27365.79	4166.13	23226.89
0.140601570	-20975.91	-7624.31	28618.37
0.141643063	-11608.91	-18198.48	29816.47
0.142684556	-444.76	-25904.47	26349.23
0.143726049	10964.47	-29707.55	18724.92
0.144767542	20621.92	-29017.74	8368.58
0.145809035	27093.50	-23835.03	-3294.79
0.146850529	29571.40	-15094.31	-14531.55
0.147892022	27529.18	-4084.45	-23499.19
0.148933515	21184.66	7687.83	-28917.89
0.149975008	11672.44	18062.34	-29771.09
0.151016501	217.83	25868.17	-26104.16
0.152057994	-11173.23	29671.25	-18507.09
0.153099487	-20830.69	28872.51	-8041.83
0.154140980	-27402.11	23780.57	3639.69
0.155182473	-29734.79	15058.00	14694.94
0.156223967	-27456.57	3948.30	23526.42
0.157265460	-21021.29	-7687.83	28718.21
0.158306953	-11336.62	-18144.02	29498.80
0.159348446	90.76	-25877.25	25786.49
0.160389939	11427.38	-29607.71	18171.26
0.161431432	20994.06	-28790.81	7769.53
0.162472925	27356.73	-23617.18	-3784.92
0.163514418	29489.72	-14867.39	-14667.70
0.164555911	27093.50	-3757.69	-23381.19
0.165597405	20658.22	7878.44	-28572.98
0.166638898	11608.91	17499.59	-29144.81
0.167680391	-735.21	25940.78	-25223.73
0.168721884	-11835.82	29898.16	-18071.41
0.169763377	-20422.23	28255.31	-7842.14
0.170804870	-27347.65	23471.96	3875.68
0.171846363	-29616.79	15139.69	14486.17
0.172887856	-26539.84	3594.31	22945.52
0.173929349	-20367.79	-7887.52	28273.45
0.174970843	-11227.70	-17780.96	29017.74
0.176012336	353.99	-25604.94	25250.97
0.177053829	11472.77	-29426.18	17944.35
0.178095322	20485.77	-28382.37	7878.44
0.179136815	26930.13	-23381.19	-3576.16
0.180178308	29253.73	-15003.53	-14286.50
0.181219801	26739.52	-4084.45	-22691.38
0.182261294	20522.08	7687.83	-28255.31
0.183302787	11064.31	18044.18	-29144.81
0.184344281	-9.08	25623.10	-25650.34
0.185385774	-11091.55	29280.95	-18207.56
0.186427267	-20585.62	28536.68	-7951.06
0.187468760	-26948.28	23435.65	3512.62
0.188510253	-29162.96	14767.54	14404.49
0.189551746	-26948.28	3830.30	23127.06
0.190593239	-20631.00	-7696.91	28336.99
0.191634732	-11182.31	-18026.03	29217.41
0.192676226	-9.08	-25614.02	25623.10
0.193717719	11164.16	-29299.11	18125.88
0.194759212	20631.00	-28518.52	7860.30
0.195800705	26966.44	-23381.19	-3621.55
0.196842198	29172.03	-14676.78	-14531.55
0.197883691	26939.20	-3739.53	-23235.97
0.198925184	20594.70	7760.46	-28400.54
0.199966677	11127.85	18071.41	-29235.57
0.201008170	-72.61	25632.18	-25586.80
0.202049664	-11236.78	29262.81	-18044.18
0.203091157	-20694.54	28436.84	-7742.30
0.204132650	-27011.82	23272.28	3739.53
0.205174143	-29199.27	14549.71	14658.63
0.206215636	-26921.05	3594.31	23335.81
0.207257129	-20540.23	-7887.52	28436.84
0.208298622	-11018.93	-18171.26	29199.27
0.209340115	181.53	-25668.48	25496.04
0.210381608	11354.76	-29253.73	17889.88
0.211423102	20776.22	-28364.21	7560.77
0.212464595	27039.04	-23145.20	-3921.08
0.213506088	29172.03	-14404.49	-14803.86
0.214547581	26857.51	-3467.24	-23435.65
0.215589074	20431.31	7996.44	-28473.14
0.216630567	10910.02	18225.72	-29172.03
0.217672060	-290.45	25677.56	-25414.34
0.218713553	-11445.53	29199.27	-17771.88
0.219755046	-20848.83	28273.45	-7433.70
0.220796540	-27084.42	23036.28	4048.14
0.221838033	-29190.19	14286.50	14912.77
0.222879526	-26848.44	3367.40	23499.19
0.223921019	-20413.17	-8078.13	28509.44
0.224962512	-10864.63	-18289.25	29162.96
0.226004005	326.75	-25704.79	25378.04
0.227045498	11499.99	-29226.49	17717.42
0.228086991	20921.45	-28300.69	7361.08
0.229128484	27166.12	-23054.44	-4138.91
0.230169978	29280.95	-14250.18	-15076.15
0.231211471	26948.28	-3358.32	-23635.34
0.232252964	20476.70	8114.43	-28636.52
0.233294457	10900.94	18361.87	-29299.11
0.234335950	-344.91	25813.71	-25496.04
0.235377443	-11608.91	29371.71	-17780.96
0.236418936	-21093.90	28445.92	-7361.08
0.237460429	-27374.88	23172.44	4211.51
0.238501923	-29516.94	14340.95	15194.14
0.239543416	-27175.19	3331.10	23862.25
0.240584909	-20667.30	-8223.35	28899.74
0.241626402	-10991.71	-18543.39	29544.18
0.242667895	390.29	-26076.94	25686.64
0.243709388	11745.06	-29634.94	17880.81
0.244750881	21338.97	-28709.13	7342.94
0.245792374	27701.63	-23381.19	-4365.82
0.246833867	29852.78	-14368.18	-15529.97
0.247875361	27465.64	-3249.41	-24261.63
0.248916854	20812.53	8441.19	-29308.19
100.0	0	0	0
    5.0210000000000         0.0000000000000         0.0000000000000         253.13798006129        -114.28432910818        -138.85365141520        0.89422650606239         310.41833614125        -41.735306482902         479.08296363985        -41.909054668981    
